#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Slow Ride - Edit","Foghat",63,114,"classic rock, southern rock","Rock","Slow Ride / Save Your Loving (For Me)",1975-00-00,03:52,49,59,2,0,65,0,10,-14,D,4,2017-08-05,4MYb7NWLwXNDB7bYs3HeX8,"Rhino",10B,USRH10802802
2,"Talk Dirty To Me","Poison",52,158,"glam metal, glam rock","Metal, Rock","Look What The Cat Dragged In",1986-01-01,03:43,51,80,2,0,71,0,30,-13,B,4,2017-08-05,01R0Xdwje645C6xFCnMRvm,"EMI Gold",1B,USCA28600090
3,"Hit Me With Your Best Shot - 1999 Digital Remaster","Pat Benatar",0,127,"aor","","Synchronistic Wanderings",1999-09-23,02:51,72,70,11,0,95,0,20,-6,E,4,2017-08-05,7nrtHjt4Vk4Z5jMHOwaS8F,"Chrysalis Records Ltd., Uk",12B,USCH39900012
4,"Story of My Life","Social Distortion",59,202,"punk, skate punk, ska punk, psychobilly","Rock, Reggae","Social Distortion",1990-03-27,05:46,33,88,7,2,69,0,30,-8,F#/G♭,4,2017-08-05,4Q4w8aRdfhIIEhBututktL,"Epic",2B,USSM10022478
5,"Sabotage - 2009 Digital Remaster","Beastie Boys",0,167,"rap rock, old school hip hop, east coast hip hop, hip hop","Hip Hop, Rock","Ill Communication (Deluxe Version) [Remastered]",1994-05-23,02:58,32,94,0,19,49,10,10,-6,F#/G♭ minor,4,2017-08-05,7zLZFcyX6jN6YX7KFRzZf3,"Capitol Records",11A,USCA20901511
6,"Mississippi Queen","Mountain",43,140,"classic rock, southern rock, blues rock","Blues, Rock","Drivin' South: Southern Rockin' Smash Hits",2001-07-16,02:27,48,83,13,0,58,10,0,-5,D#/E♭,4,2017-08-05,5Ny6yVg3LRfz3jicFcIMlm,"Epic",5B,USSM10017943
7,"School's Out - Single Version","Alice Cooper",0,135,"glam rock, hard rock, glam metal, proto-punk, classic rock","Rock, Metal","Another Shot of Old Skool of Rock",2009-01-01,03:28,27,81,0,7,40,0,40,-7,F,4,2017-08-05,2wRXbDpe0Uv0ebgsCSkXHO,"Universal Music Group International",7B,USWB19900782
8,"Sunshine Of Your Love","Cream",0,115,"classic rock, psychedelic rock, acid rock, blues rock","Rock, Blues","Gold",2005-04-26,04:10,68,60,37,0,71,0,10,-8,D,4,2017-08-05,4gxtH5mCSqVPTsqGcWKVOC,"Universal Music Group",10B,GBA076700020
9,"Barracuda","Heart",51,137,"classic rock, aor, rock","Rock","Shaun White Snowboarding: Official Soundtrack",2008-11-18,04:22,55,73,1,10,68,0,10,-12,E minor,4,2017-08-05,38bHLl4pznhxzRJLuw1OA7,"SONY BMG MUSIC (CANADA) INC.",9A,USSM17700354
10,"Reptilia","The Strokes",76,158,"garage rock, alternative rock, indie rock","Rock","Room On Fire",2003-10-28,03:39,49,65,0,71,77,0,10,-5,A,4,2017-08-05,57Xjny5yNzAcsxnusKmAfA,"RCA Records Label",11B,USRC10301519
11,"When You Were Young","The Killers",1,130,"alternative rock","Rock","Sam's Town",2006-10-03,03:40,47,99,0,5,32,10,20,-3,B,4,2017-08-05,3gNGi2iUGHXGpBQHce6Nua,"Universal Music Group",1B,USUM70605164
12,"Miss Murder","AFI",0,143,"punk, horror punk, emo, skate punk","Rock, Metal","Guitar Hero III Legends of Rock Companion Pack",2007-01-01,03:25,42,87,0,0,70,0,10,-5,C♯/D♭,4,2017-08-05,6k6gzf2RjLHawPOvxXimdv,"Interscope",3B,USUM70602578
13,"The Seeker - Edit","The Who",0,176,"classic rock, rock","Rock","The Who - Ultimate Collection",2002-06-11,03:11,32,84,1,0,63,0,10,-5,G,4,2017-08-05,1uwNegzo0PGLxnQruPHbWJ,"Universal Music Group",9B,GBAKW7000101
14,"Paint It, Black","The Rolling Stones",0,159,"classic rock, rock","Rock","GRRR! (Deluxe Version)",2012-01-01,03:23,47,75,6,0,61,0,30,-11,C♯/D♭,4,2017-08-05,1Kvjmr2oqZjzhryoEKzqij,"Universal Music New Zealand Limited",3B,USA171010213
15,"Paranoid","Black Sabbath",2,163,"metal, heavy metal, rock, stoner rock, doom metal, hard rock","Metal, Rock","Paranoid",1970-09-18,02:47,42,67,0,0,38,0,10,-11,F#/G♭ minor,4,2017-08-05,3L8WgDYS5TtwbyxOPSAiFf,"Universal Music Ltd.",11A,GBAJE7000057
16,"Anarchy In The UK","Sex Pistols",0,134,"punk, proto-punk","Rock","Never Mind The Bollocks, Here Comes The Sex Pistols/Spunk",1977-10-27,03:31,37,94,24,0,20,10,50,-9,C,4,2017-08-05,33UekTTrlH7Z03fYASg1mG,"",8B,GBDFX7700002
17,"Kool Thing","Sonic Youth",0,155,"noise rock, grunge, alternative rock, post-punk, shoegaze","Rock","Goo (Deluxe Edition)",1990-00-00,04:06,22,94,0,8,21,0,10,-6,E minor,4,2017-08-05,5jGF6KNfRM0wyXE7ph8Luo,"Universal Music Group",9A,USGF19029704
18,"My Name Is Jonas","Weezer",0,186,"alternative rock","Rock","Weezer",1994-05-10,03:24,30,94,0,0,58,0,20,-5,B,3,2017-08-05,2wySlB6vMzCbQrRnNGOYKa,"Universal Music Group",1B,USGF19962901
19,"Even Flow","Pearl Jam",0,105,"grunge, rock, post-grunge","Rock","Ten",1991-00-00,04:53,41,89,1,0,29,0,30,-9,A#/B♭ minor,4,2017-08-05,0o7g2ndHoHmzTXaxjPM44O,"Epic",3A,USSM19100673
20,"Cities On Flame with Rock and Roll","Blue Öyster Cult",0,178,"classic rock, hard rock","Rock","The Best Of",2007-11-30,04:02,34,91,3,0,66,10,20,-6,E,4,2017-08-05,0A37ak6gGzvjHQWm5mBNdp,"Sony BMG Music Entertainment",12B,USSM17100003
21,"Holiday In Cambodia","Dead Kennedys",0,198,"punk, hardcore punk, skate punk, proto-punk","Rock","OMFG! That’s Punk",2009-06-23,03:44,13,93,0,0,50,0,0,-5,G,4,2017-08-05,0uzyN8QWbPGpOQLAXh27El,"Selector Series",9B,USA560456451
22,"Rock You Like A Hurricane","Scorpions",0,126,"hard rock, glam metal, rock","Metal, Rock","Bad For Good: The Very Best Of Scorpions",2002-01-01,04:12,46,87,1,0,74,0,20,-5,G,4,2017-08-05,4I4BS0OeI7VZdo5WeEQHFP,"Universal Music Group",9B,USMR18530364
23,"Same Old Song And Dance","Aerosmith",0,133,"classic rock, rock","Rock","The Essential Aerosmith",1973-00-00,03:53,54,84,5,0,58,0,30,-6,A,4,2017-08-05,69nlJoa2I9tUKoRPO6BWy0,"Columbia/Legacy",11B,USSM10011903
24,"La Grange - 1999 Remaster","ZZ Top",1,162,"southern rock, classic rock, blues rock, rock","Blues, Rock","Rancho Texicano: The Very Best of ZZ Top",2004-06-08,03:52,55,65,0,3,53,20,10,-11,E minor,4,2017-08-05,0FMhMAFPLg8EljnROSoVnj,"Rhino/Warner Records",9A,USWB19902793
25,"Welcome To The Jungle","Guns N' Roses",0,123,"rock, glam metal, hard rock, classic rock","Rock, Metal","Appetite For Destruction / G N'R Lies / The Spaghetti Incident",1987-07-21,04:33,44,96,2,36,33,0,30,-8,G#/A♭,4,2017-08-05,0mCj9395EGJwklTBtGpLd9,"Geffen Records Inc.",4B,USGF18714801
26,"Helicopter","Bloc Party",2,170,"","","Silent Alarm",2005-01-01,03:40,47,96,0,0,39,10,30,-4,B minor,4,2017-08-05,72aCha2Meq7txnk451hz7k,"UMC (Universal Music Catalogue)",10A,GBDNH0400364
27,"Black Magic Woman","Santana",0,124,"","","Jingo: The Santana Collection",2007-00-00,05:17,48,54,63,14,51,0,10,-12,D minor,4,2017-08-05,3i6pEhWMcPCTiWBzQW2N8Q,"SONY BMG Catalog",7A,USSM17000294
28,"Cherub Rock","The Smashing Pumpkins",44,87,"alternative rock, rock","Rock","(Rotten Apples) The Smashing Pumpkins Greatest Hits",2001-01-01,04:59,38,88,0,72,46,0,10,-6,A,4,2017-08-05,4N4LLHDJgfkQxrYP8Cn0I7,"Virgin Records",11B,USVI29300005
