#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"悲しみがとまらない　I CAN'T STOP THE LONELINESS","Anri",70,132,"city pop, j-pop, kayokyoku","Pop","Timely!!",1983-12-05,04:23,68,84,18,0,89,0,0,-4,A,4,2025-05-13,3FYDqY5BRtx3IVSaiQZSze,"FOR LIFE MUSIC ENTERTAINMENT,INC.",11B,JPFL08300060
2,"Plastic Love","Mariya Takeuchi",66,103,"city pop, kayokyoku, j-pop","Pop","Expressions",2008-05-21,04:54,65,88,7,0,86,0,20,-5,D minor,4,2025-05-13,7rU6Iebxzlvqy5t857bKFq,"WM Japan",7A,JPWP02000926
3,"街のドルフィン","Kingo Hamada",62,123,"city pop","Pop","midnight cruisin'",1982-10-21,03:52,73,54,26,1,49,0,0,-10,A,4,2025-05-13,5w6EvyvomUSWsF430iixmc,"WM Japan",11B,JPAM08200040
4,"我がままなハイヒール - Non Stop Mix ver.","Kaoru Akimoto",44,106,"city pop","Pop","TOKYO 1980s Victor Edition (The Alternate Mix) Boogie, Funk & Modern Soul from Japan ～Non Stop Mix ver.～",2018-10-31,02:46,82,72,30,1,82,0,10,-7,G,4,2025-05-13,7rwK52xzfFuyCv8VD1p9tL,"plusGROUND",9B,JPVI01814881
5,"WINDY SUMMER","Anri",59,107,"city pop, j-pop, kayokyoku","Pop","Timely!!",1983-12-05,04:06,65,76,18,0,84,0,10,-5,D,4,2025-05-13,7fgmo2cHGzWLexkRhBeECj,"FOR LIFE MUSIC ENTERTAINMENT,INC.",10B,JPFL08310240
6,"I wanna Be With You","Yurie Kokubu",47,173,"city pop","Pop","STEPS ＋2",2014-07-09,05:06,51,79,55,0,65,0,30,-4,A#/B♭,4,2025-05-16,5C3AY2e3hF83MYLXUXfvJX,"Sony Music Direct (Japan) Inc.",6B,JPBV08720142
7,"1984 (西暦2000年に向けて) - 2012 Remaster","Junko Yagami",34,155,"city pop, kayokyoku, j-pop","Pop","コミュニケーション (+3, 2012 Remaster)",1985-02-10,05:22,76,59,11,0,94,0,0,-8,G#/A♭,4,2025-06-14,4vgHC2Thy8hJ4K1ADblbjY,"WM Japan",4B,JPAM09401310
8,"Dream In The Street","池田典代",36,119,"city pop","Pop","ドリームインザストリート",2018-01-10,04:58,77,61,21,47,91,0,0,-11,F,4,2025-06-14,1SmMLu0AFRNt2V83d12C2s,"TOKUMA JAPAN COMMUNICATIONS",7B,JPTK01212890
9,"Night Cruising","Momoko Kikuchi",41,96,"city pop, kayokyoku","Pop","ADVENTURE",1986-06-25,05:02,62,73,33,24,74,0,0,-7,C,4,2025-06-14,73b6LlIMUlZ9nSwaYQc0eN,"VAP",8B,JPVP08602304
10,"4:00A.M.","Taeko Onuki",67,103,"city pop, shibuya-kei, j-pop","Pop, Electronic","MIGNONNE (Mastered by Bernie Grundman)",1978-09-21,05:36,63,64,34,0,86,0,0,-11,A#/B♭ minor,4,2025-08-06,0zoGVO4bQXG8U6ChKwNgeg,"Sony Music Direct (Japan) Inc.",3A,JPBV09401587
11,"トーキョーレギー","Masayoshi Takanaka",65,131,"jazz fusion, city pop, jazz funk","Pop, Jazz, R&B, Electronic, Rock","SEYCHELLES",1976-00-00,04:20,50,73,8,6,72,0,0,-10,E,4,2025-08-06,5floNyItopWZyB4IzKrJtW,"Universal Music LLC",12B,JPKT07600702
12,"Remember Summer Days","Anri",65,97,"city pop, j-pop, kayokyoku","Pop","Timely!!",1983-12-05,04:55,63,67,34,0,79,0,0,-5,E,4,2025-08-06,1qUo7d5lAOclNVbTUY0A2R,"FOR LIFE MUSIC ENTERTAINMENT,INC.",12B,JPFL08310230
13,"BELEZA PULA","Masayoshi Takanaka",57,135,"jazz fusion, city pop, jazz funk","Pop, Jazz, R&B, Electronic, Rock","BRASILIAN SKIES",1978-00-00,07:53,57,72,43,69,93,0,40,-12,B minor,4,2025-08-06,63dLm0BUpepXeFIfZ0OKEL,"Universal Music LLC",10A,JPKT07800501
14,"モノクローム","Naoko Gushima",41,101,"city pop, j-r&b, shibuya-kei","Pop, R&B, Electronic","miss. G",1996-06-05,05:37,66,47,49,11,70,0,10,-10,B minor,4,2025-10-13,1BVEBGbZTgBmtWm54cTSs0,"EMI MUSIC JAPAN INC.",10A,JPTO09607230
