#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Paint Me Silver","Pond",50,177,"neo-psychedelic, psychedelic rock","Rock","The Weather",2017-05-05,03:44,34,83,1,0,68,0,20,-6,G#/A♭,4,2021-10-03,6YGVK9xgH2LI4Ghw6gqUxx,"EMI Recorded Music Australia Pty Ltd",4B,AU9Z11700003
2,"Talking Distance","Sunbeam Sound Machine",31,110,"neo-psychedelic","Rock","Goodness Gracious",2019-05-03,04:09,37,66,0,19,47,0,10,-9,A#/B♭,4,2021-10-03,4RpQIYVicxglI2LfZYHKVr,"Dot Dash Recordings",6B,AUDJ01801921
3,"In the Yard","Jons",32,128,"neo-psychedelic","Rock","At Work on Several Things",2016-11-04,02:13,36,86,0,62,42,0,30,-6,D#/E♭ minor,4,2021-10-03,3yApEKsTr2HEhiL2qb4IgY,"Jons",2A,ushm91629024
4,"fell asleep with a vision","SPIRIT OF THE BEEHIVE",0,150,"shoegaze, slowcore, neo-psychedelic","Rock","Hypnic Jerks",2018-09-14,01:38,28,63,5,46,19,0,10,-13,A,4,2021-10-03,0OwVKAbeZJiOmSKiAKgeBi,"Tiny Engines",11B,QMZPB1800303
5,"Forever End","The Holydrug Couple",30,150,"neo-psychedelic, psychedelic rock, space rock","Rock","Hyper Super Mega",2018-09-14,04:00,36,75,0,0,45,0,10,-6,B minor,4,2021-10-03,5aGBLQ3Xrbo7Ok0XDRM3bj,"Sacred Bones Records",10A,US5NR1821203
6,"The Less I Know The Better","Tame Impala",88,117,"neo-psychedelic, indie","Pop, Rock","Currents",2015-07-17,03:36,64,74,1,1,79,0,10,-4,E,4,2021-10-04,6K4t31amVTZDgR3sKmwUJJ,"Universal Music Australia Pty. Ltd.",12B,AUUM71500303
7,"Somebody New","Swim Mountain",0,95,"neo-psychedelic","Rock","If (Deluxe Edition)",2021-10-08,03:14,81,48,67,19,66,0,10,-7,D,4,2022-12-06,6S6Ls9g5i1k2duXCWiOm55,"Monday Records",10B,QMFME1937457
8,"Spitting Off the Edge of the World","Yeah Yeah Yeahs, Perfume Genius",0,110,"art pop","Pop","Spitting Off the Edge of the World",2022-06-01,04:17,42,72,0,0,10,0,0,-6,D,4,2022-12-06,3kBBjItT7JnKi28k68dGkr,"Secretly Canadian",10B,US38W2247001
9,"The Physical Attractions","The Symposium",50,138,"","","The Symposium",2017-04-20,04:44,36,50,0,52,53,0,10,-10,F minor,4,2022-12-06,2TeYAizye4GlmzQq5zyf91,"The Symposium",4A,usdy41739832
10,"Poison","The Symposium",46,175,"","","Drugs",2014-10-31,03:02,28,60,1,27,48,0,10,-11,F,4,2022-12-06,1Jg3XdrCOZ5rrirIOggdtW,"The Symposium",7B,uscgh1522602
