#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Limón y Sal","Julieta Venegas",76,111,"latin pop, latin rock","Latin, Pop, Rock","Limon Y Sal",2006-05-25,03:25,63,65,14,0,49,0,20,-6,B,4,2021-01-26,7dITAq1YP5e0kTcaDq4YWI,"Ariola",1B,MXF010600234
2,"La Muralla Verde","Los Enanitos Verdes",66,130,"rock en español, latin rock, argentine rock, mexican rock, latin alternative","Rock, Latin","Originales - 20 Exitos",1986-00-00,02:41,72,86,7,0,89,0,30,-6,G#/A♭ minor,4,2021-01-26,1qvY1z3Wm3sAYeHfPTnrbI,"Sony Special Products",1A,ARF109400173
3,"Morenamía (Dueto 2007)","Miguel Bosé, Julieta Venegas",66,160,"latin pop, latin rock","Latin, Pop, Rock","Papito (Deluxe)",2007-00-00,03:45,71,82,13,0,91,20,0,-6,A minor,4,2021-01-26,3osYhl8lGmLJYASrrh9Y5f,"WM Spain",8A,ES5150603009
4,"Caraluna","Bacilos",58,103,"colombian pop, latin pop","Latin, Pop","Grandes Exitos",2006-05-23,04:26,76,77,18,0,90,0,10,-5,A,4,2021-01-26,4XTMj7kd8DHLl0r7ghmEAr,"WEA Latina",11B,USWL10200073
5,"La flaca","Jarabe De Palo",77,103,"rock en español, latin rock, latin alternative","Latin, Rock","La Flaca",1996-00-00,04:21,87,48,52,0,66,0,0,-9,G,4,2021-01-26,2LsbizbOeNa4x6qsi2jAMb,"Parlophone Spain",9B,ES5039600004
6,"Volverte A Ver","Juanes",69,85,"latin pop, colombian pop, rock en español","Latin, Pop, Rock","Mi Sangre",2004-01-01,03:37,62,70,6,0,71,0,20,-5,F#/G♭,4,2021-01-26,2ZqFfDwNjKvPu3USx3onhO,"National Own (UC)",2B,USUL10400973
7,"Duele El Amor","Aleks Syntek, Ana Torroja",73,130,"latin pop, rock en español","Latin, Pop, Rock","Mundo Lite",2004-01-01,04:35,67,77,33,0,70,0,30,-6,F#/G♭ minor,4,2021-01-26,0oXLSuno5adlHcPzlzs8l6,"Capitol Latin",11A,MXF060400910
8,"Todo Cambió","Camila",77,174,"latin pop","Latin, Pop","Todo Cambio",2006-00-00,03:13,45,52,56,0,36,0,20,-6,F,3,2021-01-26,4OyzSXRSadNQt5EMwASdap,"Columbia",7B,MXF010600145
9,"Me Cuesta Tanto Olvidarte","Mecano",0,100,"rock en español, latin pop","Latin, Pop, Rock","Ana, Jose, Nacho (TF1 Co-Production)",1998-03-30,02:54,60,28,95,0,54,0,10,-11,A,3,2021-01-26,0stIFBwUeaH8qpFe9aPl6w,"Ariola",11B,ES5028600052
10,"Por Hacerme el Bueno","Bacilos",0,196,"colombian pop, latin pop","Latin, Pop","Por Hacerme el Bueno",2017-09-22,04:12,60,76,2,0,80,10,0,-6,F minor,4,2021-01-26,5kTBmo3zNcnlm6saZRFrHR,"Sony Music Latin",4A,USSD11700391
11,"A Dios Le Pido","Juanes",74,97,"latin pop, colombian pop, rock en español","Latin, Pop, Rock","Un Día Normal",2002-01-01,03:25,67,84,7,0,94,0,10,-4,G,4,2021-01-26,129lYDVKnWtlJc2PZJviuA,"Int'l Latin America",9B,USUL10200158
12,"Me Dediqué a Perderte","Alejandro Fernández",0,148,"mariachi, ranchera, latin pop, bolero","Latin, Traditional Music, Pop, Folk","Alejandro Fernandez 15 Años De Exitos",2003-05-09,03:52,65,45,49,0,48,0,10,-9,G#/A♭,4,2021-01-26,1HpIBHs03kKCxlrPthWXmL,"Columbia",4B,MXF140400094
13,"Mientes","Camila",78,170,"latin pop","Latin, Pop","Dejarte De Amar",2010-02-09,03:25,33,59,8,0,31,0,10,-6,C♯/D♭,3,2021-01-26,5EhzE6HJaCcLFrf5rPqvpk,"Columbia",3B,MXF010900828
14,"Color Esperanza","Diego Torres",67,101,"latin pop, colombian pop","Latin, Pop","Un Mundo Diferente",2001-10-31,04:27,62,88,34,0,77,0,0,-6,G,4,2021-01-26,3T07pNAEVr9adeIG9i1ex4,"RCA Victor",9B,ARF030101992
15,"Colgando en tus manos (con Marta Sánchez)","Carlos Baute, Marta Sánchez",77,120,"latin pop","Latin, Pop","De mi puño y letra - Edicion Coleccionista",2009-00-00,03:50,84,64,54,0,88,0,10,-5,F#/G♭,4,2021-01-26,3UI9I3e1g1y5T3SMfdgfGO,"WM Spain",2B,ES5150801314
16,"Humanos a Marte","Chayanne",70,93,"latin pop","Latin, Pop","En Todo Estaré (Deluxe Edition)",2014-08-25,03:45,69,90,11,0,79,0,10,-4,F#/G♭ minor,4,2021-02-02,7lOzUJzsELALh5FQsPKTEn,"Sony Music Latin",11A,USSD11400065
17,"Obsesion","Aventura, Judy Santos",80,134,"bachata","Latin","We Broke The Rules",2002-06-01,04:14,80,56,42,0,77,0,0,-7,C♯/D♭ minor,4,2021-02-02,65H6t1WQBim6q93yM8fEwn,"Premium Latin Music",12A,US83W0500074
18,"¿Con Quién Se Queda El Perro?","Jesse & Joy",67,190,"latin pop","Latin, Pop","¿Con Quién Se Queda El Perro?",2011-12-06,03:08,59,75,3,0,79,10,30,-6,B,4,2021-02-12,0czQtlDDtTANqj8YHVzXoN,"WM Mexico",1B,MXF151100223
19,"Mi Historia Entre Tus Dedos","Gianluca Grignani",0,158,"rock en español, italian singer-songwriter","Folk, Rock","Destino Paraiso",1995-01-01,05:10,63,51,43,0,48,0,0,-7,C,4,2021-02-12,4X4eypK7U3nCtOegosnciD,"Universal Music Italia srL.",8B,IT7009505562
20,"Te lo agradezco, pero no (feat. Shakira)","Alejandro Sanz, Shakira",57,150,"latin pop","Latin, Pop","Coleccion definitiva (Deluxe)",2011-11-11,04:33,76,70,55,0,72,10,0,-6,D,4,2021-05-09,67g3Wn5bMFDV4qGICl4u6J,"WM Spain",10B,ES5150606036
21,"Ahora Te Puedes Marchar","Luis Miguel",79,133,"mariachi, bolero, latin pop, ranchera, villancicos","Latin, Traditional Music, Pop, Folk","Soy Como Quiero Ser",1987-07-15,03:11,78,88,15,0,91,0,0,-4,F#/G♭ minor,4,2021-12-26,1uKjQoh8JZj9ryuYRhpd7E,"WM Mexico",11A,USWI19600295
22,"Cuando Calienta El Sol","Luis Miguel",67,126,"mariachi, bolero, latin pop, ranchera, villancicos","Latin, Traditional Music, Pop, Folk","Soy Como Quiero Ser",1987-07-15,03:56,69,87,7,0,56,0,20,-4,C,4,2022-01-16,3hVaK0zn3sVWWY8TvN1Te5,"WM Mexico",8B,USWI19600297
23,"Me Voy","Julieta Venegas",78,108,"latin pop, latin rock","Latin, Pop, Rock","Limon Y Sal",2006-05-25,03:07,57,68,7,0,60,0,10,-4,D,3,2022-12-29,100Tm6z29RfHTdUQ6NIs0s,"Ariola",10B,MXF010600165
24,"Rosas","La Oreja de Van Gogh",69,107,"latin pop","Latin, Pop","París",2004-05-10,03:57,78,69,62,0,53,0,10,-5,A,4,2023-04-24,06p2Ij0lXD45LODQDCov0u,"Sony Music Entertainment",11B,ES5110304435
25,"Es Por Ti","Juanes",78,130,"latin pop, colombian pop, rock en español","Latin, Pop, Rock","Un Día Normal",2002-01-01,04:10,70,76,17,0,86,0,10,-6,E,4,2023-04-24,3b1IQflSLrgzYQPGFzI9cl,"Int'l Latin America",12B,USUL10500058
26,"Lamento Boliviano","Los Enanitos Verdes",80,124,"rock en español, latin rock, argentine rock, mexican rock, latin alternative","Rock, Latin","Big Bang",1994-01-01,03:42,71,74,18,0,68,0,10,-7,E minor,4,2023-04-24,6Pur3hWy6Nzc27ilmsp5HA,"EMI Latin",9A,ARF049400245
27,"Vida Loca","Francisco Céspedes",61,69,"trova, nueva trova, bolero","Latin, Traditional Music, Folk","Vida Loca",1998-00-00,03:14,43,33,87,0,26,0,10,-11,C♯/D♭ minor,4,2023-05-17,4w9o81y0dXFKgraEwfEgTz,"WEA Latina",12A,MXF159700061
28,"Hasta Que Me Olvides","Luis Miguel",78,120,"mariachi, bolero, latin pop, ranchera, villancicos","Latin, Traditional Music, Pop, Folk","Aries",1993-00-00,04:41,64,59,46,0,44,0,10,-8,D#/E♭,4,2023-07-19,6vPAmoERUMRoTZaCCSWQ12,"WEA Latina",5B,USWI19600161
29,"Di Qué Sientes Tú","Chayanne",51,140,"latin pop","Latin, Pop","Di Qué Sientes Tú",2018-04-26,03:56,55,47,21,0,26,0,10,-8,C♯/D♭,4,2023-11-04,2k7oWwvj3bGQ68HnsC813H,"Sony Music Latin",3B,USSD11800167
