#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Haunted","Laura Les",69,169,"hyperpop, glitch","Electronic, Pop","Haunted",2021-03-12,01:42,51,82,0,3,55,0,10,-9,A,4,2021-04-19,1toNKayLMeCcVlsLGXJl7n,"Dog Show Records/Big Beat",11B,USAT22007910
2,"hand crushed by a mallet","100 gecs, Laura Les, Dylan Brady",57,85,"hyperpop, glitch","Electronic, Pop","1000 gecs",2019-05-31,02:06,66,47,27,0,79,10,20,-7,C♯/D♭ minor,4,2022-04-22,7CUkeiG7QtB7tPU9f8SANS,"Dog Show Records",12A,USAT22000422
3,"mememe","100 gecs",0,152,"hyperpop, glitch","Electronic, Pop","mememe",2021-11-19,02:46,46,75,1,0,63,10,20,-3,F minor,4,2022-04-22,2Tdkz4mLxN8szqcMeNWcI8,"Dog Show Records",4A,USAT22106106
4,"745 sticky","100 gecs, Laura Les, Dylan Brady",43,75,"hyperpop, glitch","Electronic, Pop","1000 gecs",2019-05-31,02:21,61,71,13,0,80,20,80,-6,F#/G♭,4,2022-04-22,2fwz9mBaELJCzXuEEEe35Y,"Dog Show Records",2B,USAT22000414
5,"Hey Big Man","100 gecs",39,180,"hyperpop, glitch","Electronic, Pop","Snake Eyes",2022-12-02,01:42,47,98,8,0,36,60,40,1,A#/B♭ minor,5,2023-01-21,6jgkLS7ADwuNskZyQ4cNbm,"Dog Show Records",3A,USAT22220597
6,"Torture Me (feat. Skrillex)","100 gecs, Skrillex",36,157,"hyperpop, glitch, dubstep, edm, electro, electronic","Electronic, Pop","Snake Eyes",2022-12-02,01:53,72,90,11,2,81,0,10,-4,G#/A♭,4,2023-01-21,2jLrYzkqtPmTpOejm58iDu,"Dog Show Records",4B,USAT22220596
7,"Runaway","100 gecs",36,142,"hyperpop, glitch","Electronic, Pop","Snake Eyes",2022-12-02,02:28,39,52,20,0,33,10,0,-6,D,4,2023-01-21,5OvFZ5TPlYAZmH6mpj88N7,"Dog Show Records",10B,USAT22220595
8,"Hollywood Baby","100 gecs",57,77,"hyperpop, glitch","Electronic, Pop","10,000 gecs",2023-03-17,03:07,43,87,2,0,61,10,20,-3,A#/B♭,4,2023-03-23,0oigSejhoNen2EdNAIFcm5,"Dog Show Records",6B,USAT22208967
9,"Doritos & Fritos","100 gecs",50,172,"hyperpop, glitch","Electronic, Pop","10,000 gecs",2023-03-17,03:16,63,98,2,0,89,10,0,-3,E minor,4,2023-03-23,1jPPKYq1s1HhIjAiqrnRR8,"Dog Show Records",9A,USAT22203324
10,"Dumbest Girl Alive","100 gecs",58,150,"hyperpop, glitch","Electronic, Pop","10,000 gecs",2023-03-17,02:17,63,77,1,0,26,10,10,-5,A minor,4,2023-06-05,0qMZXgcLfkl5RI3q50KHMH,"Dog Show Records",8A,USAT22208962
11,"LosT","Bring Me The Horizon",61,185,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","LosT",2023-05-04,03:25,40,94,0,0,39,20,20,-3,A minor,4,2024-03-30,5BgnL6gHauuvxe4Ok6W1aC,"RCA Records Label",8A,GBARL2202050
12,"Frog On The Floor","100 gecs",42,111,"hyperpop, glitch","Electronic, Pop","10,000 gecs",2023-03-17,02:41,60,63,30,0,81,10,10,-6,D,4,2024-03-30,6yOeP45D6bNbtQgD3ssQfL,"Dog Show Records",10B,USAT22208968
13,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]","100 gecs, Charli xcx, Rico Nasty, Kero Kero Bonito",51,107,"hyperpop, glitch, art pop","Pop, Electronic","1000 gecs and The Tree of Clues",2020-07-10,03:34,85,47,12,0,62,20,0,-8,G#/A♭,4,2024-03-30,2T93MtJuKMzcGRTR8fdizV,"Dog Show Records",4B,USAT22000177
