#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Sk8er Boi","Avril Lavigne",79,150,"","","Let Go",2002-06-04,03:24,49,90,0,0,48,0,30,-4,C,4,2025-11-25,00Mb3DuaIH1kjrwOku9CGU,"Arista",8B,USAR10200229
2,"I ONLY WANT TO BE WITH YOU","Tommy february6",57,130,"shibuya-kei, j-pop","Pop, Electronic","L･O･V･E･L･Y ～夢見るLOVELY BOY～",2004-07-14,04:04,65,91,0,0,96,0,20,-3,E,4,2025-11-25,3PCHt5cYf3LCYqyzud6szS,"Sony Music Labels Inc.",12B,JPN100400702
3,"What happened to us","Morning Rain",1,160,"post-punk, cold wave, darkwave","Electronic, Rock","Love Rain",2021-02-11,03:24,47,85,0,79,51,0,20,-6,E minor,4,2025-11-25,5Wrdijo8pdM4OsD3YQOlwa,"Morning Rain",9A,SE5BU2153248
4,"Love rain","Morning Rain",3,150,"post-punk, cold wave, darkwave","Electronic, Rock","Love Rain",2021-02-11,03:37,54,96,1,79,70,0,10,-4,D,4,2025-11-25,08z9xreZpy3D67OcXuFLly,"Morning Rain",10B,SE5BU2153247
5,"Tarde","Siddhartha",60,85,"mexican indie, latin indie, latin alternative, rock en español","Latin, Rock","Únicos",2016-09-23,04:18,51,83,2,2,71,0,20,-5,F#/G♭,4,2025-11-25,3EcsBKooLv8jotNKmuYQyd,"RCA Records Label",2B,MXF011600244
6,"My Violent Heart","Nine Inch Nails",34,106,"industrial rock, industrial, industrial metal, alternative metal, nu metal","Metal, Rock","Year Zero",2007-04-17,04:13,69,84,2,39,45,10,0,-8,A#/B♭ minor,4,2025-11-25,60YSrrQDF4AEJUM9NRSqmK,"Nothing",3A,USUM70727135
7,"The Good Soldier","Nine Inch Nails",37,87,"industrial rock, industrial, industrial metal, alternative metal, nu metal","Metal, Rock","Year Zero",2007-04-17,03:23,71,51,4,85,63,0,0,-9,A#/B♭,4,2025-11-25,5i6drXxQsUWeutQBq9UmnE,"Nothing",6B,USUM70727137
8,"Vessel","Nine Inch Nails",39,92,"industrial rock, industrial, industrial metal, alternative metal, nu metal","Metal, Rock","Year Zero",2007-04-17,04:51,64,86,1,2,38,10,0,-6,C♯/D♭,4,2025-11-25,5cNBRAn7c2q7PoQVbKfJhr,"Nothing",3B,USUM70727129
9,"Me, I'm Not","Nine Inch Nails",40,140,"industrial rock, industrial, industrial metal, alternative metal, nu metal","Metal, Rock","Year Zero",2007-04-17,04:51,71,68,2,26,88,0,10,-6,G,4,2025-11-25,3ph4tOOVnAnbLuqTzUyW7Q,"Nothing",9B,USUM70727131
10,"Narc","Interpol",52,119,"indie rock, post-punk","Rock","Antics",2004-09-27,04:07,56,88,6,63,68,0,30,-2,G,4,2025-11-25,74tnaKUsXIXeY3ryb9pfjG,"Matador",9B,USMTD0461603
11,"モノクローム","Naoko Gushima",41,101,"city pop, j-r&b, shibuya-kei","Pop, R&B, Electronic","miss. G",1996-06-05,05:37,66,47,49,11,70,0,10,-10,B minor,4,2025-11-25,1BVEBGbZTgBmtWm54cTSs0,"EMI MUSIC JAPAN INC.",10A,JPTO09607230
12,"Yo Voy - Post-Punk Version","Depresión Post-Mortem",44,168,"post-punk, darkwave","Electronic, Rock","Yo Voy (Post-Punk Version)",2021-04-10,04:22,54,73,14,0,35,0,0,-9,C minor,4,2025-11-25,0CmVeXcmPTzqPU3LDJV74s,"Depresión Post-Mortem",5A,USA2P2202400
13,"De Música Ligera","Soda Stereo",57,124,"rock en español, latin rock, argentine rock, latin alternative","Rock, Latin","Originales - 20 Exitos",1983-00-00,03:32,54,71,0,30,76,0,30,-8,D,4,2025-11-25,2WD9ggmpZE7Wodh3qVVCgg,"Sony Special Products",10B,ARF109600710
14,"八方來財(Stacks from All Sides)","攬佬SKAI ISYOURGOD",78,123,"chinese hip hop","Hip Hop","八方來財(Stacks from All Sides)",2024-08-20,02:53,90,50,2,1,41,0,20,-4,A#/B♭ minor,4,2025-11-25,7jm2PueKmv4EOHfdbdXMKT,"秀動發行",3A,HKE022272921
15,"大展鴻圖(Blueprint Supreme)","攬佬SKAI ISYOURGOD, AR刘夫阳",72,176,"chinese hip hop","Hip Hop","八方來財(Stacks from All Sides)",2024-08-20,03:31,64,76,1,0,18,10,30,-7,C♯/D♭,4,2025-11-25,0hEWvzkgbI301JZj947gFz,"秀動發行",3B,HKE022272925
16,"Undercover Martyn","Two Door Cinema Club",69,160,"indie","Pop, Rock","Tourist History",2010-02-17,02:47,44,86,0,0,58,10,0,-5,B minor,4,2025-11-25,1JmRbZclLHgneDrpyA9e3X,"Glassnote - VMG",10A,FRU700900115
17,"Rest My Chemistry","Interpol",60,150,"indie rock, post-punk","Rock","Our Love To Admire",2007-07-10,05:01,47,88,2,8,42,0,20,-6,B minor,4,2025-11-25,2O5UcpKolgLT8l8yAvEmID,"Matador",10A,USCA20703931
18,"Fall On","Adamn Killa",57,144,"cloud rap","Hip Hop","Generational Run",2025-06-20,01:46,70,79,21,0,68,0,10,-3,B,4,2025-11-25,6hKtyuKnJLh42UtnRSSteJ,"Adamn Killa, under exclusive license to Kurate Music Ltd.",1B,TCAJL2530321
19,"Even Flow","Pearl Jam",81,105,"grunge, rock, post-grunge","Rock","Ten",1991-08-27,04:52,39,94,0,0,27,0,30,-7,A#/B♭ minor,4,2025-11-25,6QewNVIDKdSl8Y3ycuHIei,"Epic/Legacy",3A,USSM19100673
20,"What Once Was","Her's",76,146,"indie","Pop, Rock","Songs of Her's",2017-05-12,04:15,53,88,17,1,44,0,20,-4,D#/E♭ minor,3,2025-11-25,1XrSjpNe49IiygZfzb74pk,"Heist Or Hit Records",2A,GBYEJ1100223
