#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"The Bucket","Kings of Leon",0,140,"","","Aha Shake Heartbreak",2004-11-09,02:55,50,64,8,0,18,0,10,-6,C,4,2018-04-20,0hpE9ebmDck3MzARkvPvZr,"RCA Records Label",8B,USRC10401362
2,"The End","Kings of Leon",0,80,"","","Come Around Sundown",2010-10-19,04:24,33,59,0,1,23,0,0,-6,D#/E♭ minor,4,2018-04-27,0O53YcPBLyveU0jVYZpUgk,"RCA Records Label",2A,USRC11000691
3,"99 Luftballons","Nena",2,193,"neue deutsche welle, schlager, german pop","Pop, Rock, Easy Listening","99 Luftballons",1984-08-21,03:53,47,44,9,0,59,0,10,-13,E,4,2018-05-22,6HA97v4wEGQ5TUClRM0XLc,"Epic",12B,DEE868300011
4,"First","Cold War Kids",68,78,"","","Hold My Home",2014-10-31,03:20,47,69,2,0,56,0,50,-4,D,4,2018-09-17,3omXshBamrREltcf24gYDC,"Cold War Kids",10B,USCJ81401258
5,"Teardrop","Massive Attack, Elizabeth Fraser",74,77,"trip hop, downtempo","Electronic, Hip Hop","Mezzanine",1998-01-01,05:30,62,42,2,50,22,0,10,-9,B minor,4,2018-09-17,67Hna13dNDkZvBpTXRIaOJ,"Circa",10A,GBAAA9800322
6,"Are You With Me - Radio Edit","Lost Frequencies",0,121,"tropical house","Electronic","Are You With Me (Radio Edit)",2015-01-26,02:18,78,57,47,0,41,0,10,-10,F minor,4,2018-10-01,5kHiHWLcbsvTDtmHxBiaID,"Ultra Records, LLC",4A,NLF711403495
7,"Reality (feat. Janieck Devy) - Radio Edit","Lost Frequencies, Janieck Devy",3,122,"tropical house","Electronic","Less Is More",2016-10-21,02:39,71,70,2,0,60,0,0,-8,C♯/D♭ minor,4,2018-10-01,0cOBMETjhxublnnwhbnzJO,"Ultra Records, LLC",12A,NLF711502765
8,"Let Me Love You","DJ Snake, Justin Bieber",88,200,"","","Encore",2016-08-05,03:25,48,72,9,0,16,0,10,-5,G#/A♭,4,2018-10-01,0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake Def Jam",4B,QMZSY1600015
9,"Best Day Of My Life","American Authors",78,100,"","","Oh, What A Life",2014-01-01,03:14,67,90,6,0,54,0,0,-2,D,4,2018-10-01,5Hroj5K7vLpIG4FNCRIjbP,"Island Records",10B,USUM71302187
10,"Hymn for the Weekend","Coldplay",83,90,"","","A Head Full of Dreams",2015-12-04,04:18,49,69,21,0,41,0,30,-6,C minor,4,2018-10-01,3RiPr603aXAoi4GHyXx0uy,"Parlophone UK",5A,GBAYE1500979
11,"Geronimo","Sheppard",56,142,"","","Bombs Away",2015-03-10,03:38,71,78,45,0,45,0,10,-6,G,4,2018-10-01,19cL3SOKpwnwoKkII7U3Wh,"Decca (UMO)",9B,AUIYA1400002
12,"Hall of Fame (feat. will.i.am)","The Script, will.i.am",80,85,"","","#3 Deluxe Version",2012-09-10,03:22,42,87,7,0,63,0,10,-4,A#/B♭,4,2018-10-01,7wMq5n8mYSKlQIGECKUgTX,"Epic/Phonogenic",6B,GBARL1201055
13,"We Are Young (feat. Janelle Monáe)","fun., Janelle Monáe",75,184,"alternative r&b","Pop, R&B","Some Nights",2012-02-21,04:10,38,64,2,0,74,0,0,-6,A#/B♭,4,2018-10-01,7a86XRg84qjasly9f6bPSD,"Fueled By Ramen",6B,USAT21101399
14,"Don't You Worry Child - Radio Edit","Swedish House Mafia, John Martin",82,129,"edm","Electronic","Don't You Worry Child",2012-09-14,03:32,61,84,11,0,44,0,10,-3,B minor,4,2018-10-01,2V65y3PX4DkRhy1djlxd9p,"Pophouse Entertainment Group",10A,GBAAA1200728
15,"New York","Eskimo Joe",13,125,"","","Black Fingernails, Red Wine",2006-00-00,03:54,60,84,2,0,33,0,10,-6,G#/A♭ minor,4,2019-05-10,2wJ7A4y1l70WpEb1ABguVw,"Ryko/WEA",1A,AUWA00601120
