#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"0 SENTIMENTO","Asjatica",3,80,"","","0 SENTIMENTO",2022-11-25,02:29,35,66,0,1,29,0,10,-7,B,4,2024-09-12,5WCw5MPG167COqxJu6c42Y,"Reload Music",1B,QMDA72220284
2,"VADO DI MATTO","Asjatica",6,165,"","","VADO DI MATTO",2023-02-03,02:15,55,81,2,0,27,0,10,-6,G,4,2024-09-12,6ENWZUAwZJBazFJqMu2wWq,"Reload Music",9B,QM4TW2304279
3,"EX","Asjatica",1,170,"","","EX",2023-06-16,02:02,55,77,1,0,85,0,60,-4,A,4,2024-09-12,0s2a4lDkvChIBsDfoa69ET,"Reload Music",11B,QM6P42353700
4,"Autoreggente","Bambole Di Pezza, Kate Klein",30,162,"riot grrrl","Rock","DIRTY (Deluxe)",2023-11-17,03:02,48,86,0,0,79,0,30,-4,C,4,2024-09-16,5hCbo2347MbGG8WOmkx8d3,"Universal Music Italia srL.",8B,ITOL62300252
5,"SESSO & OPENBAR","Moise",8,143,"","","SESSO & OPENBAR",2022-08-05,02:34,64,86,1,0,57,0,0,-5,F,4,2024-10-02,4CtmrooLElIO7iZwdDMpdJ,"MOISE",7B,ITV1G2200003
6,"L'ultima notte","Holy Francisco, ERRE",2,181,"","","L'ultima notte",2022-10-14,02:31,48,96,0,0,81,0,30,-2,G#/A♭,4,2024-10-02,17YZll9rSR2nDdAZUFTyao,"Universal Music Italia srL.",4B,ITUM72201586
7,"Paranoia Park","NAMIDA",3,165,"","","Paranoia Park",2023-12-22,02:32,48,96,0,0,50,0,20,-3,A,4,2024-10-02,3Vbw1LXY0RK8fQVRqomPWs,"Matilde Dischi",11B,ITUDA2300162
8,"Sere nere","Decrow, Bedini, Brunelleski",38,170,"","","Sere nere",2022-12-13,03:02,37,86,0,0,63,20,20,-6,F#/G♭,4,2024-10-02,628efDaUbu6gn8am4OTDrD,"Decrow",2B,DGA072211714
9,"COSA VA IN ME?","Asjatica",2,165,"","","COSA VA IN ME?",2023-04-14,03:01,51,85,1,0,20,0,10,-6,E minor,4,2024-10-02,7CzSSJurj4jcsO8W53iz9L,"Reload Music",9A,QM4TX2359027
10,"TRAGEDIA MODERNA","ROS",4,160,"","","TRAGEDIA MODERNA",2023-01-27,02:39,58,85,0,0,77,0,30,-4,G,4,2024-10-02,3GpDoprJLVqvoEo7mnBGYu,"ROS Music",9B,US39N2205152
11,"Jack & Sally","Giorgieness",5,88,"italian singer-songwriter","Folk","Jack & Sally",2022-12-23,03:17,57,63,41,0,45,10,10,-8,G,4,2024-10-02,0gyrIXHL1yw4VwT7LAhqI4,"Sound To Be",9B,ITBSF2200085
