#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Traicionera","Sebastian Yatra",55,91,"colombian pop, reggaeton","Latin, Pop","Traicionera",2016-06-24,03:48,78,68,13,0,66,0,20,-5,B,4,2021-05-09,79Jhw5xn4gGn6PZak275gg,"UMLE - Latino",1B,USUM71605331
2,"Sigo Extrañándote","J Balvin",72,93,"reggaeton, latin","Latin","Energía",2016-06-24,03:21,90,86,15,0,94,20,20,-4,B minor,4,2021-08-04,0k23rRi1B8ZHrKtzECGoyk,"UMLE - Latino",10A,USUM71604779
3,"Otra Vez (feat. J Balvin)","Zion & Lennox, J Balvin",79,96,"reggaeton, latin","Latin","Motivan2",2016-09-30,03:29,83,77,6,0,70,10,40,-5,A#/B♭,4,2021-08-04,3QwBODjSEzelZyVjxPOHdq,"WEA Latina",6B,USWL11600244
4,"El Efecto","Rauw Alejandro, Chencho Corleone",82,84,"reggaeton, urbano latino, trap latino, latin","Latin, Hip Hop","El Efecto",2019-03-15,03:37,85,78,41,0,89,10,0,-5,C minor,4,2021-11-03,4SJHHpKhcuXwDsCsPqshXj,"Duars Entertainment, Corp.",5A,QM4TX1940916
5,"Hasta Que Salga el Sol","Ozuna",48,96,"reggaeton, trap latino, latin, urbano latino","Latin, Hip Hop","Nibiru",2019-11-29,03:08,83,82,2,0,60,0,10,-5,C♯/D♭ minor,4,2021-11-03,0dDboLfmRNsTBscy4j3Rnl,"Aura Music Corp.",12A,USXDR1900701
6,"Fantasía","Ozuna",48,180,"reggaeton, trap latino, latin, urbano latino","Latin, Hip Hop","Nibiru",2019-11-29,02:55,70,72,23,0,78,0,0,-6,D,4,2021-11-03,40rXWke6SnXiGkSmaT8ZUr,"Aura Music Corp.",10B,USXDR1900703
7,"El Taxi","Pitbull, Osmani Garcia  La Voz ",68,95,"","","Dale",2015-07-17,04:09,87,69,12,0,88,10,10,-7,G,4,2021-11-03,1LbGorB0xOfpiXQJFKB2Nd,"Mr. 305 Records",9B,USNPW1500186
8,"Si Estuviésemos Juntos","Bad Bunny",79,172,"reggaeton, trap latino, urbano latino, latin","Latin, Hip Hop","X 100PRE",2018-12-23,02:49,67,60,6,0,16,0,10,-7,C♯/D♭ minor,4,2021-11-03,35wvL50xvKpCHEJPxLOLPI,"Rimas Entertainment LLC",12A,QM7281884729
9,"La Cama","Lunay, Myke Towers",59,174,"reggaeton, trap latino, urbano latino","Latin, Hip Hop","Épico",2019-10-25,03:09,70,90,20,0,82,0,10,-3,D minor,4,2021-11-03,0OoqRZXnSrgIUAha3iLKG1,"round2media - LaFamilia",7A,USA2P1955937
10,"Solo de Mi","Bad Bunny",60,180,"reggaeton, trap latino, urbano latino, latin","Latin, Hip Hop","Solo de Mi",2018-12-14,03:17,74,73,29,0,15,10,0,-4,A#/B♭ minor,4,2021-11-03,5YOkA7qd2983FtBQnP8sYx,"Rimas Music",3A,QM7281869444
