#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"BUSSIT","Joey Valence & Brae",47,90,"","","NO HANDS",2024-06-07,02:35,64,88,0,0,51,30,30,-2,C♯/D♭,4,2025-03-23,5KyBEJ04Ixunyc2AJVGwbK,"JVB Records",3B,US38Y2409348
2,"PACKAPUNCH (feat. Danny Brown)","Joey Valence & Brae, Danny Brown",51,196,"experimental hip hop, alternative hip hop","Hip Hop","NO HANDS",2024-06-07,03:00,54,95,7,0,54,40,20,-1,D,4,2025-03-23,3C1rUtw6tW9dfVPar8CMLf,"JVB Records",10B,US38Y2409349
3,"WHERE U FROM","Joey Valence & Brae",47,103,"","","NO HANDS",2024-06-07,02:46,86,85,4,0,55,20,10,-2,F#/G♭,4,2025-03-23,3yx9TGpZNoP4jViHQNHJk7,"JVB Records",2B,US38Y2409352
4,"我が心のピンボール","Eiichi Ohtaki",32,114,"city pop, kayokyoku, j-pop, enka, shibuya-kei","Pop, Traditional Music, Electronic","A LONG VACATION",2021-03-21,04:28,60,82,1,0,76,0,0,-6,C♯/D♭,4,2025-04-02,5tDhl8mn6367LTr2DHkiST,"Sony Music Labels Inc.",3B,JPU902002915
5,"雨のウェンズデイ","Eiichi Ohtaki",40,102,"city pop, kayokyoku, j-pop, enka, shibuya-kei","Pop, Traditional Music, Electronic","A LONG VACATION",2021-03-21,04:26,59,62,17,0,39,0,10,-8,C♯/D♭ minor,4,2025-04-02,05cPxtumQhtpLhPBnnCf3x,"Sony Music Labels Inc.",12A,JPU902002916
6,"スピーチ・バルーン","Eiichi Ohtaki",30,144,"city pop, kayokyoku, j-pop, enka, shibuya-kei","Pop, Traditional Music, Electronic","A LONG VACATION",2021-03-21,03:57,47,38,46,0,36,0,10,-9,G,4,2025-04-02,3NMwSmJn72l8FAF3X7EwPx,"Sony Music Labels Inc.",9B,JPU902002917
7,"恋するカレン","Eiichi Ohtaki",43,120,"city pop, kayokyoku, j-pop, enka, shibuya-kei","Pop, Traditional Music, Electronic","A LONG VACATION",2021-03-21,03:25,43,69,23,0,41,0,10,-6,E,4,2025-04-02,5fpJALmnFU2UQC8pisHRTr,"Sony Music Labels Inc.",12B,JPU902002918
8,"FUN×4","Eiichi Ohtaki",36,131,"city pop, kayokyoku, j-pop, enka, shibuya-kei","Pop, Traditional Music, Electronic","A LONG VACATION",2021-03-21,03:26,79,78,21,0,89,10,60,-6,F#/G♭ minor,4,2025-04-02,0N5AhEzIbPAaO79PJA8GXO,"Sony Music Labels Inc.",11A,JPU902002919
9,"さらばシベリア鉄道","Eiichi Ohtaki",39,144,"city pop, kayokyoku, j-pop, enka, shibuya-kei","Pop, Traditional Music, Electronic","A LONG VACATION",2021-03-21,04:34,47,82,6,0,71,0,10,-6,E minor,4,2025-04-02,1ryIUczPOFdfFXdZp4jZtv,"Sony Music Labels Inc.",9A,JPU902002920
10,"Blurry Lights (with Albert Hammond Jr)","Ax and the Hatchetmen, Albert Hammond Jr",51,120,"","","Blurry Lights (with Albert Hammond Jr)",2025-04-04,03:05,62,71,2,0,39,0,30,-5,A minor,4,2025-04-05,4nL1lfpCtPPdfiH4REUd4V,"Arista Records",8A,USAR12500092
