#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"The Perfect Girl","Mareux",0,129,"darkwave, cold wave","Electronic, Rock","The Perfect Girl",2019-10-13,03:14,40,91,0,84,29,10,10,-5,G#/A♭ minor,4,2022-04-27,6J4XizhuOlKmPWykPrHIrV,"Mareux",1A,QZF8N1986577
2,"Dark Angel","Provoker",51,117,"darkwave, lo-fi indie, post-punk, cold wave","Electronic, Rock","Dark Angel",2018-05-14,06:15,68,80,18,33,83,0,0,-8,C minor,4,2022-04-27,58lQsFCu6wlgDvOI0MjMmu,"Life Sucker Productions",5A,QZB4J1842509
3,"Keepaneyeout","Beach Bums",0,180,"","","Years",2019-07-26,02:33,68,41,7,85,7,0,10,-5,C,4,2022-04-27,7DWgu3uFNvPDHfLjYIZ4ND,"Lolipop Records",8B,QZFZ21902750
4,"Capital Pains","Tempers",45,160,"darkwave, cold wave, post-punk","Electronic, Rock","Private Life",2019-10-25,03:48,52,78,3,20,41,0,10,-6,C♯/D♭ minor,3,2022-04-27,3F4QJjFJ2JZuSh5Lp738kG,"Dais Records",12A,QMEU31913732
5,"Separation Anxiety","Eyedress",0,164,"","","Manila Ice",2017-05-12,03:47,42,76,12,1,53,0,10,-8,D#/E♭ minor,4,2022-04-27,0RNGGyNM2yWfuTZ9sBz7wg,"Lex Records",2A,GBMYF1600068
6,"Gallowdance","Lebanon Hanover",67,138,"darkwave, cold wave, post-punk, gothic rock, deathrock","Electronic, Rock","Tomb for Two",2013-10-10,03:51,71,77,51,85,28,0,10,-8,G#/A♭,4,2022-04-27,74SUn8w4lYSwgOGPvVZiEo,"FABRIKA RECORDS",4B,TCABS1372916
7,"Dead, Again","Jadu Heart",52,88,"indie soul","R&B","Hyper Romance",2020-09-25,03:56,56,76,4,76,48,0,40,-7,C,4,2022-04-27,03Q3ytaGt02fUewWo9fJW0,"VLF Records",8B,UKQY81800031
8,"Lust","Boy Harsher",0,132,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock, synthpop","Electronic, Rock, Pop","Lesser Man EP",2014-00-00,03:04,58,86,3,37,83,0,10,-6,C,4,2022-04-27,4gkSpsiFU0Lsjeitmx4zGK,"Nude Club",8B,GB9TP1501924
9,"Cigarettes out the Window","TV Girl",0,114,"","","Who Really Cares",2016-02-25,03:18,63,66,12,0,59,0,10,-6,C,4,2022-04-27,5GKekzF1YcR2DQd9c3DI8y,"TV Girl",8B,uscgh1682129
10,"Midnight","Johnny Goth",26,85,"bedroom pop","Pop","Midnight",2021-07-13,02:49,58,64,0,92,26,0,10,-5,C,4,2022-04-27,5xwvMTiZAUk65rMm6VwMAC,"Johnny Goth",8B,QZK6Q2142379
11,"Perdidos","Twin Tribes",44,150,"darkwave, post-punk, cold wave, gothic rock, deathrock","Electronic, Rock","Ceremony",2019-12-13,03:51,47,87,0,98,62,0,0,-5,A#/B♭ minor,4,2022-04-27,1L4a8ASqpp4iudAEajGLAX,"Twin Tribes",3A,QZHN51957107
12,"Summertime","Mareux",57,150,"darkwave, cold wave","Electronic, Rock","Predestiny",2020-04-17,03:37,50,39,7,22,13,0,10,-12,C♯/D♭,4,2022-04-27,109rpPw9mmFN1KhQ38zyt0,"I HEARD IT IN PARIS",3B,QZFP52051599
13,"Spectral Tease","Mareux",45,120,"darkwave, cold wave","Electronic, Rock","Spectral Tease",2020-02-14,05:05,52,80,0,83,68,0,0,-10,D#/E♭ minor,4,2022-04-27,5ZTd8bac69tY3TYh1i4oxH,"Mareux",2A,QZFP52051593
14,"Insomniac","Memo Boy, Chakra Efendi",0,130,"","","Songs & Demos 2015-2017",2021-06-04,03:32,52,71,24,85,37,0,10,-9,D,4,2022-04-27,62JzTgFcJ4BX07AktKmB1S,"PLZ Make It Ruins",10B,AUNUK1700026
15,"Facebook.com","Memo Boy",0,167,"","","Songs & Demos 2015-2017",2021-06-04,03:38,42,76,3,84,55,0,20,-7,B minor,4,2022-04-27,2eyDbHAGCtdkCGSGJafZT4,"PLZ Make It Ruins",10A,GB5P52100115
16,"Dark Beach","Pastel Ghost",3,130,"witch house, darkwave","Electronic","Abyss",2015-03-10,03:42,53,92,28,59,15,0,0,-7,G,4,2022-04-27,5QmdK8QFbY8TLVKPuJzexD,"Cleopatra Records",9B,QM6XS1704798
17,"","",0,120,"","","",0000-00-00,00:00,64,63,5,0,60,0,0,-7,F#/G♭ minor,4,2022-04-27,6PNalfPNYYPIlXW8DO1yAK,"",11A,
18,"Can't Get You Out of My Head","Johnny Goth",44,151,"bedroom pop","Pop","The Great Awakening",2020-10-30,03:10,40,68,1,13,26,0,10,-11,G#/A♭,4,2022-04-27,4PCCRQQOwrrRbkDTzxXl7h,"Johnny Goth",4B,QZHNB2027816
19,"Connections","Blind Seagull",0,175,"post-punk, cold wave, darkwave, gothic rock, deathrock","Electronic, Rock","Pressure",2018-02-18,02:41,30,58,0,92,10,0,20,-5,G,4,2022-04-27,1Nb2iHmomvQJVKhy8z8V8d,"BKV Sound",9B,QZ8LD1963535
20,"Distance","Rendez Vous",0,165,"darkwave, post-punk, cold wave, gothic rock, deathrock","Electronic, Rock","Distance",2016-03-04,03:29,42,93,0,0,48,0,50,-6,C,4,2022-04-27,4jU6Vuq0e1KSc1vOAKL3k2,"Avant! Records",8B,ITJ501600160
21,"The Unknown","peach tinted",49,137,"lo-fi indie","Electronic, Rock","Cinematic Youth",2020-07-27,03:08,59,69,15,54,73,0,30,-10,C,4,2022-04-27,6No2OA04pRfNVDu2mvrZAy,"peach tinted",8B,QZHNA2024401
22,"Thin Flesh","TRAITRS",55,77,"darkwave, post-punk, cold wave, gothic rock, deathrock","Electronic, Rock","Butcher's Coin",2018-05-18,03:38,27,73,0,25,19,0,10,-2,C,4,2022-04-27,1P1u2H8BTKaKTRhsQAwFH4,"Traitrs",8B,FR10S1898363
23,"Yung and Writhing","Rew",0,150,"shoegaze","Rock","Rew",2017-05-25,03:12,41,92,69,92,68,0,20,-3,A,4,2022-04-27,2uNGH4c3KdOZARA4giRX4a,"707431 Records DK",11B,QZDA51996296
24,"When I Mean Nothing To You","Stegosaurus Rex",31,120,"","","Undeniable",2009-04-16,05:39,70,49,0,83,24,0,0,-10,D,4,2022-04-27,4QRDYIRLX6SrsZf0ekpS1q,"Elita Likes Electro",10B,uscgh0990755
25,"Body Vehicle","Provoker",30,122,"darkwave, lo-fi indie, post-punk, cold wave","Electronic, Rock","Dark Angel",2018-06-15,04:17,61,84,13,74,51,0,10,-7,C,4,2022-04-27,0DcL8zU7L2NqBP3phyoGJs,"Life Sucker Productions",8B,QZDA41891098
26,"I'm Having Sex Tonight","GRLwood",0,83,"riot grrrl, queercore","Rock","I Sold My Soul to the Devil When I Was 12",2019-08-02,03:58,45,64,18,87,25,0,10,-12,G,4,2022-04-27,2uyHWeIWTm4N0B3OFSmlSR,"sonaBLAST! Records",9B,USGAC1900073
27,"Cold Summer","Mareux",43,105,"darkwave, cold wave","Electronic, Rock","Cold Summer",2019-10-13,04:43,66,49,28,54,11,0,10,-11,B minor,4,2022-04-27,1Ls4pastu36M96Y05Hsp0J,"Mareux",10A,QZF8N1986576
28,"Phantom","Vestron Vulture",56,160,"darkwave, post-punk, cold wave, synthwave, witch house","Electronic, Rock","Shades of Violet",2017-01-01,03:18,67,78,0,80,66,0,10,-9,C♯/D♭,4,2022-04-27,7vvultYHYCuFk0AJWa5c9O,"Vestron Vulture",3B,GBSMU3965819
29,"homeschool","18pm",34,94,"","","18PM!, Vol. 2",2021-03-12,03:23,36,71,69,86,31,10,10,-10,G,4,2022-04-27,1BsW6UuvJasJfeH5QVM6KG,"18PM :)",9B,QZNWR2011246
30,"Deleteme","Rew",0,100,"shoegaze","Rock","Rew",2017-05-25,03:02,43,87,27,96,57,0,20,-4,G,4,2022-04-27,2vqOH8EpW2ydLbNuzNtNlL,"707431 Records DK",9B,QZDA51996287
31,"Балконы","Нюдовый Чёс, angel vox",29,124,"","","Loveкрафт",2020-05-01,04:34,80,54,23,63,27,0,0,-6,A#/B♭,4,2022-04-27,7Kbl85sCM3I5gkC9tH328X,"Нюдовый Чёс",6B,RUA1H2087275
