#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Vuelta en U","Señor Kino, Ed Maverick",42,165,"mexican indie, latin indie, latin folk","Folk, Latin, Rock","Vuelta en U",2022-04-01,03:02,39,81,0,22,57,0,0,-9,A,4,2022-12-01,2uSQpyjWJpSaoxjc27VAZ3,"Señor Kino",11B,QZGLS2230583
2,"Verde Pastel","Señor Kino",36,90,"mexican indie, latin indie","Latin, Rock","Limonada Rosa",2017-00-00,02:13,36,93,5,62,73,0,40,-5,G,4,2022-12-01,1CWFgWVLWJEJ8JM0hBaGd7,"Señor Kino",9B,USDY41757541
3,"Elesdí","Señor Kino",17,81,"mexican indie, latin indie","Latin, Rock","Colores",2019-03-22,03:29,27,95,6,1,32,0,10,-5,A#/B♭,4,2022-12-01,16JecUHKjInnRdyTOJXihg,"Independent",6B,GBLFP1826985
4,"Down the Line","Beach Fossils",0,162,"dream pop, surf rock, shoegaze","Pop, Rock","Somersault",2017-06-02,02:38,60,74,24,0,53,0,10,-7,G,4,2022-12-01,1KPDAA9zyJXcEDvFW5inYi,"Bayonet Records",9B,QM6YT1701409
5,"Dræm Girl","No Vacation",0,173,"bedroom pop, dream pop","Pop, Rock","Summer Break Mixtape",2015-07-15,03:54,19,95,0,72,26,20,30,-6,D,4,2022-12-01,6lbLn5iL2NBJnbib7bTXMn,"No Vacation",10B,USHM81626735
6,"Hey Lover!","Wabie",64,117,"bedroom pop","Pop","Cyclones and Hey Lover",2019-06-19,02:42,59,74,1,0,52,0,30,-10,E,4,2022-12-01,7rC3P7tpWriaC4hYWKwGQd,"Wabie Records",12B,QZFYZ1923384
7,"Freaks","Surf Curse",0,180,"indie","Pop, Rock","Buds",2015-05-10,02:27,35,94,0,56,40,0,0,-10,A,4,2022-12-01,0HUTL8i4y4MiGCPId7M7wb,"Big Joy Records",11B,TCACA1429223
8,"Sights and Sounds","Made In Japan",14,140,"dream pop","Pop, Rock","Sights and Sounds",2012-02-17,03:39,58,80,3,3,49,0,10,-5,C♯/D♭ minor,4,2022-12-01,5KgNVlo7QUy66WpIX7s5C6,"Made In Japan",12A,AU3R31200001
9,"Pairs","Made In Japan",19,150,"dream pop","Pop, Rock","Sights and Sounds",2012-02-17,03:58,33,68,2,41,63,0,0,-4,A minor,3,2022-12-01,4KHrUUWS3AxhQBooKDzfnD,"Made In Japan",8A,AU3R31200002
10,"Adult Diversion","Alvvays",36,177,"dream pop, shoegaze, jangle pop, indie","Pop, Rock","Alvvays",2014-01-01,03:27,33,95,4,52,47,0,10,-4,G#/A♭,4,2022-12-01,2VvfTbJWcguP88dvnpH7hl,"Royal Mountain Records",4B,CA8WH1200031
11,"Pretty Bones","Harmless",0,146,"","","I'm Sure",2012-08-14,03:17,56,96,1,91,77,0,30,-2,D,4,2022-12-01,74RvGRmPLVoRVBzFMUO62f,"Harmless",10B,TCACS1610797
12,"Dionysus","The Buttertones",48,133,"surf rock","Rock","Buttertones",2014-01-22,03:29,33,61,0,5,55,0,10,-8,A,4,2022-12-01,7wYU1avLwl1Gtkib8OTrZp,"LOLIPOP RECORDS",11B,TCABT1458919
13,"Nu Suave","The Buttertones",42,133,"surf rock","Rock","Buttertones",2014-01-22,02:40,33,73,0,77,83,0,10,-7,A,4,2022-12-01,3drDbxickqfTcdJmklijcj,"LOLIPOP RECORDS",11B,TCABT1458921
14,"American Spirits","Inner Wave",0,158,"","","III",2013-10-07,02:50,50,82,5,0,88,0,10,-5,C♯/D♭ minor,4,2022-12-01,01w1oN1WO5aOThHnLBN8eS,"Inner Wave",12A,GBSMU1460342
15,"Jealous","Eyedress",0,93,"","","Jealous",2019-12-06,02:02,47,92,0,86,70,0,40,-10,A minor,4,2022-12-01,5s2zbxZI4Ym5LTKwjZHS2V,"Lex Records",8A,GBMYF1900115
16,"Vacation","Beach Fossils",27,160,"dream pop, surf rock, shoegaze","Pop, Rock","Beach Fossils",2010-05-25,03:46,37,97,23,84,23,10,20,-6,A#/B♭ minor,4,2022-12-01,5YQjYLYLbWcKdYMkqwfwco,"Bayonet Records",3A,US8YA1010087
17,"Disco","mitsume",34,148,"japanese indie, shibuya-kei, j-r&b, j-rock","Pop, R&B, Rock, Electronic","eye",2012-00-00,03:01,53,81,6,49,64,0,10,-10,E,4,2022-12-01,4jzlvo0SdmUZGAjZSvmREI,"mitsume",12B,JPV501400081
18,"Pretty Old Man","No Buses",43,124,"japanese indie","Pop, Rock","Boys Missed The Bus",2019-04-15,02:39,58,77,6,0,90,0,0,-4,C minor,4,2022-12-06,09fNyeCFUbrTor4DY7kX2b,"MOTHER SHIP",5A,JPP301900044
19,"Tic","No Buses",33,175,"japanese indie","Pop, Rock","Tic",2018-05-05,02:18,52,91,22,0,76,0,30,-5,C♯/D♭,4,2022-12-06,0UqwIL59AsdSTdmewiWXvj,"No Buses / Tugboat Records Inc.",3B,TCJPG1895740
20,"Untouchable You","No Buses",36,115,"japanese indie","Pop, Rock","Boys Loved Her",2019-09-11,03:14,54,69,8,4,61,0,10,-6,C minor,4,2022-12-06,53Gs2a7kV4h6tBN0fCTtUY,"No Buses",5A,JPP301900429
21,"Girl","No Buses",31,90,"japanese indie","Pop, Rock","Boring Thing",2018-12-08,02:28,44,84,0,80,56,0,10,-5,D#/E♭,4,2022-12-06,2ysUlv7HWK44iY0R9FOJrp,"Tugboat Records Inc.",5B,JPP301800774
22,"Ill Humor","No Buses",29,157,"japanese indie","Pop, Rock","Boys Loved Her",2019-09-11,02:28,48,85,1,0,96,0,0,-4,F#/G♭,4,2022-12-06,3ZWPE72rn7gB2uHFe5s0HJ,"No Buses",2B,JPP301900433
23,"I'm With You","No Buses",16,89,"japanese indie","Pop, Rock","I'm With You",2022-07-23,03:05,57,85,22,84,56,0,10,-8,C♯/D♭,4,2022-12-06,2K4goyAH4A39JmYjS2tTTB,"No Buses",3B,JPP302200350
24,"F.I.J.A.N.F.W.I.W.Y.T.B","brvnks",14,170,"","","Lanches",2016-04-15,03:23,29,95,1,0,34,0,30,-4,C,4,2022-12-06,5WAu63vPxTwdNnzAvC3Ol7,"Dull Dog Records",8B,BXBAZ1600009
25,"deixe-se acreditar","Mombojó",0,169,"nova mpb","Latin, Pop","Nadadenovo",2004-05-23,03:53,41,85,8,53,55,0,30,-7,F#/G♭ minor,4,2022-12-06,7pYTy2XN96Mm61f0xeLoKj,"Tratore",11A,BRGPH0300017
26,"Swing Lynn","Harmless",72,165,"","","I'm Sure",2012-08-14,05:21,46,95,5,76,45,0,10,-2,D,4,2022-12-19,3VCXx37jNGNOMns6z2OnvJ,"Nettwerk Music Group",10B,TCACS1610798
27,"Artiem on My Mind","ARTIEM",0,84,"","","Artiem on My Mind",2022-06-06,02:57,56,73,0,48,63,0,10,-8,G#/A♭,4,2022-12-31,0PmaPTBxjfUKRcwFuIZ9HE,"La Cupula Music",4B,ESA092202841
28,"Falso Realismo","Jambu",0,128,"nova mpb","Latin, Pop","Falso Realismo",2021-04-23,03:26,62,46,0,1,58,0,0,-12,G,4,2023-01-20,1VJSaqMGhCPGbYuj24UgHm,"Jambu",9B,FR59R2161426
29,"Sin Tiempo","Ultra P",14,162,"mexican indie, latin indie","Latin, Rock","Sin Tiempo",2017-00-00,04:19,49,90,1,2,73,0,0,-5,A,4,2023-01-26,7IkmxFcsaypUIn4mIrnY1r,"Escondido Récords",11B,TCADD1718996
30,"Todo Mal","Ultra P, Películas Geniales",25,165,"mexican indie, latin indie","Latin, Rock","Todo Mal",2021-08-19,03:34,47,85,3,0,58,0,0,-8,B minor,4,2023-01-26,208ImiYXCir1eCamSIbWVw,"Escondido Récords",10A,FRX282184207
31,"¿Qué Nos Pasó?","DRIMS",45,88,"mexican indie, latin indie, latin alternative","Latin, Rock","¿Qué Nos Pasó?",2018-08-07,03:30,53,88,0,6,68,0,10,-6,G#/A♭,4,2023-01-26,0ab86T6AXAUjP4M1Gw8ENT,"Universal Music Mexico",4B,GBLFP1889180
32,"Ella Es Azul","Volován",46,154,"rock en español, mexican rock, mexican indie, latin alternative","Latin, Rock","Volovan",2018-08-03,03:29,47,89,0,0,82,0,30,-4,C,4,2023-02-06,3FEOiLNmS51wlq4ZcouLj6,"Selec Music",8B,QZ5AB1996350
33,"Monitor","Volován",62,126,"rock en español, mexican rock, mexican indie, latin alternative","Latin, Rock","Monitor",2006-01-01,03:57,58,96,0,0,38,0,30,-3,A#/B♭,4,2023-02-06,7on4qNO1Iu5EX61mD80Cgv,"Universal Music Mexico",6B,MXUM70601041
34,"Fuera de Lugar","Little Jesus, Girl Ultra",53,171,"mexican indie, latin indie, latin alternative, latin r&b","Latin, Rock, R&B","Disco de Oro",2019-05-24,03:16,64,53,39,0,64,0,40,-9,D,4,2023-02-06,2BWTYAiWbBGCJeKbQ6rpFA,"RCA Records Label",10B,MXF011900112
35,"Quiero Verte","L3ON",27,155,"mexican indie, latin indie, latin alternative","Latin, Rock","Hoy",2018-08-10,02:57,67,74,3,0,76,10,30,-7,C♯/D♭ minor,4,2023-02-06,2pvL5L62XQoGhwOgvwx4Sh,"Marcos Brown Records (MB Records)",12A,QZ5AB2005020
36,"La Noche","Fin del Mundo",18,145,"latin indie, shoegaze","Latin, Rock","Fin del Mundo",2020-04-03,03:33,42,83,11,61,6,0,0,-6,A,4,2023-02-06,1NPScuwas3jC2PpOO86vJX,"anomalía ediciones",11B,QZGLM2086965
37,"Idea","La Superluna di Drone Kong, Nikki",5,177,"","","Idea",2022-05-13,02:45,54,82,9,0,74,0,0,-6,A,4,2023-02-06,0AI35B8TuEtmz5ayf4dQR0,"Drone Kong",11B,ITE3C2200003
38,"Pista de Baile","Ultra P",7,164,"mexican indie, latin indie","Latin, Rock","Pista de Baile",2017-00-00,05:14,61,78,9,5,83,0,10,-7,C♯/D♭ minor,4,2023-02-06,6kY5EwuMTIE1eaDy62AvSX,"Escondido Récords",12A,TCADD1725640
39,"American Spirits","Inner Wave",0,158,"","","III",2013-10-07,02:50,50,82,5,0,88,0,10,-5,C♯/D♭ minor,4,2023-02-06,3gBUiBPKh4ept9hoG0G93N,"Inner Wave",12A,GBSMU1460342
40,"No Pude","Los Animales También Se Suicidan",0,136,"latin indie, mexican indie","Latin, Rock","Balneario",2019-04-12,03:17,61,84,0,1,82,0,30,-6,G,4,2023-02-06,23gusMLgmr7qlTxkB53DS1,"Disco Intrépido",9B,US7VG1987685
41,"Mi Droga Favorita","Isla de Caras, Little Jesus",23,146,"latin indie, latin alternative, mexican indie","Latin, Rock","Mi Droga Favorita",2023-06-09,02:55,62,66,40,12,67,0,20,-8,A,4,2023-06-12,5uAMj3PkbSoYhJbEfc0CSX,"Rock City Agencia",11B,ARDL52300004
42,"Happy Pills","Weathers",64,116,"","","Happy Pills",2016-06-03,03:23,52,89,0,1,34,10,30,-5,E minor,4,2023-07-13,3zjjzKg16tczCMwckGKGuH,"RCA Records Label",9A,USRC11600888
43,"Bombay","El Guincho",39,107,"drill","Hip Hop","Pop Negro",2010-09-13,03:39,74,89,10,0,69,0,30,-3,G,4,2023-07-20,60aWOhenofxdFViDXn3lfp,"Young",9B,GBBKS1000286
44,"Soca del Eclipse","El Guincho",18,140,"drill","Hip Hop","Pop Negro",2010-09-13,04:10,65,96,2,0,69,0,0,-3,C,4,2023-07-20,48ZpmuaUF0DwRscYFFy70j,"Young",8B,GBBKS1000285
45,"Inmigrante","Los Animales También Se Suicidan",0,150,"latin indie, mexican indie","Latin, Rock","Balneario",2019-04-12,03:17,48,80,0,1,68,0,20,-6,C,4,2023-10-09,4bppezxjHTaEscb7DYtmTL,"Disco Intrépido",8B,US7VG1987683
46,"Saturday Night","HUNNY, Bleached",33,140,"indie pop, riot grrrl, garage rock","Rock, Pop","Yes. Yes. Yes. Yes. Yes.",2019-07-19,02:33,56,80,0,0,85,0,20,-3,A minor,3,2024-05-03,1CZKATfzxZ0GIwfCgOcK5a,"Epitaph",8A,USEP41922004
47,"Disco","Surf Curse",78,173,"indie","Pop, Rock","Disco",2019-06-12,02:32,47,62,3,0,78,0,10,-9,B minor,4,2024-06-08,2Lumsra3kuU61wXkEKzKaK,"Surf Curse",10A,USAT22103311
48,"Young","Vacations",78,80,"","","Vibes",2016-00-00,03:09,50,81,0,1,59,0,0,-4,G,4,2024-09-11,1KIJclzEbNhSVw8tiHPWwE,"Nettwerk Music Group",9B,SEYOK1669274
