#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Entre dos tierras","Heroes Del Silencio",70,166,"rock en español, latin rock, mexican rock, latin alternative","Latin, Rock","Senderos De Traición",1990-00-00,06:08,46,75,4,0,51,0,10,-9,B minor,4,2024-05-20,4rJdaSwOCHLBhxdMsymeMw,"Parlophone Spain",10A,ES5089000064
2,"Amargo Adiós","Inspector",73,140,"ska, mexican ska, rock en español, mexican rock","Latin, Rock, Reggae","Alma En Fuego",2002-07-30,03:48,61,67,17,0,79,0,20,-4,D minor,4,2024-05-20,0zCOT028cU3DeCqN1G18wE,"Universal Music Mexico",7A,MXF110200231
3,"Persiana Americana","Soda Stereo",51,101,"rock en español, latin rock, argentine rock, latin alternative","Rock, Latin","Originales - 20 Exitos",1983-00-00,04:50,58,92,15,1,49,0,20,-6,E minor,4,2024-06-02,7JZP7kQsuFFWOrtAI7uNiW,"Sony Special Products",9A,ARF109400134
4,"Luz De Dia","Los Enanitos Verdes",74,122,"rock en español, latin rock, argentine rock, mexican rock, latin alternative","Rock, Latin","Nectar",1999-01-01,04:28,66,45,48,0,52,0,10,-13,C,4,2024-07-02,6TqXieeBcZZHyaO14hQpKx,"National Own (UC)",8B,USWWW0202711
5,"Oye Mi Amor","Maná",80,162,"rock en español, latin rock, mexican rock, latin pop","Latin, Pop, Rock","¿Dónde Jugarán Los Niños?",1992-00-00,04:23,54,90,1,1,96,0,0,-7,B minor,4,2024-07-04,5EJ2THuhAapEIeQOtXUQ0x,"WM Mexico",10A,MXF159200061
6,"A un minuto de ti","Mikel Erentxun",74,150,"rock en español, latin rock","Latin, Rock","Naufragios",1992-00-00,03:53,63,82,11,1,65,0,20,-9,C,4,2024-07-31,7HlULtRMJSTzorUMebka0f,"DRO/EastWest Spain",8B,ES5019269000
7,"Tren Al Sur","Los Prisioneros",64,181,"latin rock, rock en español","Latin, Rock","Coleccion Suprema",2007-01-01,05:38,59,62,0,2,73,0,0,-9,A minor,4,2025-03-03,5nvS1vouQkX0HxOohfqCoS,"Capitol Latin",8A,CLBB29000001
8,"No Huyas De Mi","Kenny y los Eléctricos",42,147,"rock en español, mexican rock","Latin, Rock","Rock en Español 80's & 90's",2020-05-29,03:47,66,76,21,0,64,0,10,-8,F,4,2025-03-03,3MYGzRPoLWZGu939zvB9Po,"UME - Global Clearing House",7B,MXUM70900647
9,"En algún lugar","Duncan Dhu",76,74,"rock en español, latin rock","Latin, Rock","El Grito Del Tiempo",1987-01-17,03:55,53,86,18,9,44,0,10,-7,G,4,2025-03-03,3UIENhLRdFIOuRan92cAQu,"DRO/EastWest Spain",9B,ES5018760000
10,"Lobo-hombre en París","La Unión",71,146,"rock en español, latin rock","Latin, Rock","Grandes Exitos",2000-06-30,03:53,64,95,4,0,62,0,0,-8,A,4,2025-03-03,3M1H1CWjrSq7nxABHc8EXv,"WM Spain",11B,ES5159401001
11,"Es Tan Fácil Romper un Corazón","Miguel Mateos - Zas",61,127,"rock en español, latin rock, argentine rock","Rock, Latin","Solos en América",1986-09-01,04:54,78,72,27,0,87,0,0,-6,A,4,2025-03-03,0n2IudFRHDBfn64pNFGShg,"Ariola",11B,ARXP71600069
12,"Voy a Buscar - Versión Sinfónico [En Vivo]","Bon (Bon y Los Enemigos del Silencio)",34,122,"rock en español","Rock","Rock en Tu Idioma Sinfónico",2015-11-27,04:24,66,86,2,0,53,0,90,-6,A,4,2025-03-03,3NLno2n7nLVmnhGyxnZwEF,"RCA Records Label",11B,MXF011500529
13,"No Hay Nada Eterno (feat. Leonardo de Lozanne) - Rock en Tu Idioma, Eléctrico","Humberto Calderón (Neón), Sergio Santacruz (Neón), Jorge Chiquis Amaro  Chix , Leonardo de Lozanne",34,162,"rock en español, mexican rock","Latin, Rock","Rock En Tu Idioma, Eléctrico",2020-09-22,03:44,43,90,1,0,43,0,20,-5,G,4,2025-03-03,26lTlR68KPQtcobzMyBvyy,"Sony Music México",9B,MXF012000211
14,"El Final","Rostros Ocultos",58,80,"rock en español, mexican rock","Latin, Rock","Singles",2017-02-10,02:38,63,63,49,41,81,0,30,-12,G,4,2025-03-03,39ELDQVDsgBmo5gbTuru9U,"Universal Music Mexico",9B,MXF069500800
15,"Viento","Caifanes",77,125,"rock en español, mexican rock, latin rock, latin alternative","Latin, Rock","Caifanes",1988-05-15,03:56,59,86,30,0,45,0,10,-6,B minor,4,2025-03-03,6QJCZyJv1fhkCyZA3lRoAD,"RCA Records Label",10A,MXF019700264
16,"El derramo su amor por ti","Oceano",41,94,"rock en español","Rock","Conga Rock",1987-07-02,04:57,55,80,0,0,60,0,20,-7,D,4,2025-03-03,2xLSQQp1tL5kIGiWBAujTU,"Tamayo Records",10B,USCGH1298250
17,"Cruz de Navajas","Mecano",72,116,"rock en español, latin pop","Latin, Pop, Rock","Entre el Cielo y el Suelo (Bonus Tracks Edition)",1986-06-16,05:02,74,50,66,0,57,0,10,-8,C♯/D♭,4,2025-03-03,5laT2a6iEq4IxgEDV9dSCr,"BMG Rights Management and Administration (Spain) S.L.U",3B,ES5028600056
18,"Crimen","Gustavo Cerati",72,81,"argentine rock, latin rock, rock en español, latin alternative","Rock, Latin","Ahí Vamos",2006-04-04,03:52,54,50,44,7,29,0,20,-8,E,4,2025-03-03,3oqWr0jDWNXxWufNogGREp,"Ariola",12B,ARF030600057
19,"Es por Ti","Cómplices",63,118,"rock en español, latin rock","Latin, Rock","La Danza De La Ciudad",1990-05-03,04:30,73,49,30,0,65,0,10,-15,C,4,2025-03-04,3NP8zp1RvnblXNsYiZrjd9,"RCA Records Label",8B,ES5029000027
20,"Luna de Miel en la Mano","Virus",66,177,"latin rock, argentine rock, rock en español","Rock, Latin","Locura",1985-04-29,05:16,71,68,18,3,25,0,20,-9,A minor,4,2025-03-05,1qWLCuCnNcQVVzJm4pu7Zv,"Columbia",8A,ARF109500350
21,"Afuera","Caifanes",76,126,"rock en español, mexican rock, latin rock, latin alternative","Latin, Rock","El Nervio Del Volcan",1994-00-00,04:48,49,55,21,0,70,0,10,-11,F#/G♭ minor,4,2025-03-15,3pJfnBjO3kjudEchcPEDxS,"RCA Records Label",11A,MXF019400341
22,"Esta luz nunca se apagará - There Is a Light That Never Goes Out","Mikel Erentxun",57,148,"rock en español, latin rock","Latin, Rock","Naufragios",1992-00-00,03:23,52,89,0,0,81,0,0,-5,D minor,4,2025-03-31,5kDvGOJLmYttWjHMcwxlT5,"DRO/EastWest Spain",7A,ES5019269002
23,"Sólo Eres Tú","Caifanes",46,148,"rock en español, mexican rock, latin rock, latin alternative","Latin, Rock","Sólo Eres Tú",2022-02-10,03:53,41,90,0,0,53,0,30,-5,E minor,4,2025-05-11,0EqWWA2CnRwcJIt7czGB5Z,"Caifanes",9A,uscgh2270856
24,"De Música Ligera","Soda Stereo",57,124,"rock en español, latin rock, argentine rock, latin alternative","Rock, Latin","Originales - 20 Exitos",1983-00-00,03:32,54,71,0,30,76,0,30,-8,D,4,2025-10-12,2WD9ggmpZE7Wodh3qVVCgg,"Sony Special Products",10B,ARF109600710
