#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Sabor a Mí","Eydie Gormé, Los Panchos",67,97,"bolero","Latin, Traditional Music","Canta En Español Con Los Panchos",1964-00-00,02:48,65,38,81,0,59,0,10,-11,G#/A♭,4,2020-11-07,0Hja9zlVQHC768PsPjWscW,"Columbia",4B,MXF146500126
2,"Bésame Mucho","Los Panchos",61,126,"bolero","Latin, Traditional Music","Historia De Un Amor",1960-00-00,03:00,72,37,78,0,89,0,0,-14,F minor,4,2020-11-07,5lqY7EmoAu9rwV4hHxhEzB,"Columbia",4A,MXF146500033
3,"El reloj - Remastered","Los Panchos",34,113,"bolero","Latin, Traditional Music","Directo al corazón, Vol. 2 (Remastered)",2014-07-07,02:32,82,29,86,0,76,0,0,-11,G#/A♭ minor,4,2020-11-07,0GIfMmuiS6LKDJJc0nILJo,"Caribe Internacional",1A,ES6601402003
4,"Piel Canela","Eydie Gormé, Los Panchos",63,119,"bolero","Latin, Traditional Music","Canta En Español Con Los Panchos",1964-00-00,02:17,80,44,84,0,82,0,10,-11,E minor,4,2020-11-07,5NYQS0JkqRRfhlliy0P3Dv,"Columbia",9A,MXF146400108
5,"Historia de un Amor","Eydie Gormé, Los Panchos",60,101,"bolero","Latin, Traditional Music","Canta En Español Con Los Panchos",1964-00-00,02:30,61,34,84,0,62,0,0,-12,D minor,4,2021-02-19,47haQcqBOue2RAsVXER52f,"Columbia",7A,MXF146400111
6,"Amarraditos","Maria Dolores Pradera",43,91,"bolero, trova, latin folklore, ranchera","Latin, Traditional Music, Folk","Amarraditos",1967-06-14,02:32,66,46,88,0,40,10,30,-14,E,1,2021-04-21,5M32xiMzttf3siyy2zrAPv,"Zafiro",12B,ES5106700001
7,"La Flor de la Canela (with Joaquín Sabina)","Maria Dolores Pradera, Joaquín Sabina",30,112,"bolero, trova, latin folklore, ranchera, singer-songwriter, nueva trova","Latin, Traditional Music, Folk","La Colección Definitiva",2017-12-01,03:12,58,46,64,0,78,0,0,-10,C♯/D♭,4,2021-04-21,3AvRiaZZqrMe3lznMui3BM,"Legacy Recordings",3B,ES5021200959
8,"Nosotros","Eydie Gormé, Los Panchos",54,95,"bolero","Latin, Traditional Music","Canta En Español Con Los Panchos",1964-00-00,02:44,49,25,94,0,52,0,10,-12,G,4,2021-04-21,5l2lkNFAnc1caHIuQLgvE7,"Columbia",9B,MXF146400107
9,"En Mi Viejo San Juan (with Javier Solís)","Los Panchos, Javier Solís",49,104,"bolero, ranchera, mariachi, música mexicana","Latin, Traditional Music, Folk","Dos Idolos Cantando",1959-00-00,02:53,56,47,81,0,75,0,20,-8,G#/A♭,4,2021-04-21,07dcCkp3Eyx0UrqVRT8k6B,"Harmony",4B,MXF146900009
10,"Rayito de Luna","Los Panchos",0,113,"bolero","Latin, Traditional Music","15 Exitos Inmortales",2016-08-20,02:54,79,59,67,0,67,0,10,-7,G#/A♭,4,2021-10-13,24g05XHzwZ7bOXHfpiCRka,"AJR Discos",4B,USJTQ1717250
11,"Más Allá Del Sol","Manuel Bonilla",0,85,"christian, lullaby","Christian, Easy Listening","Mas Allá Del Sol",2014-04-09,03:29,57,7,95,86,42,0,10,-21,E,4,2022-05-23,1aMTZFAykRlbJYc2EAaYZH,"Manuel Bonilla",12B,TCABW1451517
12,"¿Qué Se Siente Que Me Gustes Tanto?","Daniel, Me Estás Matando",60,96,"bolero, mexican indie, latin indie","Latin, Traditional Music, Rock","Suspiros",2019-05-09,03:04,65,34,91,6,58,0,10,-11,A,4,2023-02-06,2BWao7MNRld2ucMxswvxaU,"Daniel, Me Estás Matando",11B,QZ5AB1842082
