#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Rapp Snitch Knishes","MF DOOM, Mr. Fantastik",74,95,"experimental hip hop, east coast hip hop, jazz rap, alternative hip hop","Hip Hop, Jazz","MM..FOOD",2004-11-16,02:52,73,83,33,0,83,20,50,-7,G,4,2024-02-25,5KUNwkaNf8l5A9sXZhiCgI,"Rhymesayers",9B,USBWK0700049
2,"Margiela Split Toes (feat. Mach-Hommy)","Westside Gunn, Mach-Hommy",55,148,"boom bap, alternative hip hop, jazz rap, experimental hip hop","Hip Hop, Jazz","Hitler Wears Hermes 8: Sincerely Adolf",2021-08-27,02:55,46,70,32,0,84,40,10,-8,C♯/D♭,4,2024-02-25,10RJKj63vLhQe10ZZWsbaf,"Griselda Records / EMPIRE",3B,USUYG1386304
3,"Deep Fried Frenz","MF DOOM",58,96,"experimental hip hop, east coast hip hop, jazz rap, alternative hip hop","Hip Hop, Jazz","MM..FOOD",2004-11-16,04:59,65,67,8,0,55,20,30,-8,F#/G♭,4,2024-02-25,4q71zOiiFoDaVQCQcE6jcp,"Rhymesayers",2B,USBWK0700041
4,"Fazers","King Geedorah",58,91,"alternative hip hop, jazz rap, experimental hip hop","Hip Hop, Jazz","Take Me To Your Leader",2003-06-17,03:17,43,97,1,0,72,10,20,-2,D,4,2024-02-25,1R28m5eWk1EV9FQ3puWrUp,"Big Dada",10B,GBCFB0300210
5,"Brand New 911","Joey Bada$$, Westside Gunn",56,140,"hip hop, rap, boom bap, alternative hip hop, jazz rap","Hip Hop, Jazz","2000",2022-07-22,02:58,48,88,0,0,72,10,20,-3,F#/G♭,4,2024-02-25,1SJnJJmrqRyE8YSdhEtbPv,"Columbia",2B,USQX92203080
6,"The Fly who couldn't Fly straight (feat. Tyler, The Creator)","Westside Gunn, Tyler, The Creator",54,81,"boom bap, alternative hip hop, jazz rap","Hip Hop, Jazz","Hitler Wears Hermes 8: Side B",2021-09-24,01:45,46,83,45,0,52,30,0,-6,G,4,2024-02-25,6bCbBTw3mqHWQwhFMMaOOq,"Griselda Records / EMPIRE",9B,USUYG1390892
7,"327 (feat. Tyler, The Creator & Billie Essco)","Westside Gunn, Joey Bada$$, Tyler, The Creator, Billie Essco",61,80,"boom bap, alternative hip hop, jazz rap, hip hop, rap, east coast hip hop","Hip Hop, Jazz","Pray for Paris",2020-04-17,05:49,42,70,83,0,67,30,10,-8,C♯/D♭ minor,4,2024-02-25,5sxRbu2Oi9lgmLO8taA3Rf,"Griselda Records",12A,USUYG1305213
8,"Check the Rhime","A Tribe Called Quest",64,96,"jazz rap, east coast hip hop, hip hop, old school hip hop","Hip Hop, Jazz","The Low End Theory",1991-09-24,03:36,88,36,5,0,80,20,20,-15,B minor,4,2024-02-25,4HfxDJ0uLHTLe0fZrx0MbQ,"Jive",10A,USJI19100005
9,"It Was A Good Day","Ice Cube",79,82,"gangster rap, west coast hip hop, old school hip hop, g-funk","Hip Hop, R&B","The Predator",1992-11-17,04:20,80,74,33,0,79,10,20,-5,G minor,4,2024-02-25,2qOm7ukLyHUXWyR4ZWLwxA,"Priority Records",6A,USPO19250006
10,"Passin' Me By","The Pharcyde",69,87,"jazz rap, west coast hip hop, old school hip hop","Hip Hop, Jazz","Bizarre Ride II The Pharcyde",1992-11-24,05:03,76,76,9,0,61,20,20,-8,E minor,4,2024-02-25,4G3dZN9o3o2X4VKwt4CLts,"The Bicycle Music Company",9A,USA370513625
11,"Steve Biko (Stir It Up)","A Tribe Called Quest",55,95,"jazz rap, east coast hip hop, hip hop, old school hip hop","Hip Hop, Jazz","Midnight Marauders",1993-11-09,03:11,85,50,1,0,34,20,20,-11,A#/B♭ minor,4,2024-02-25,671sDyeE398eD0sdGuVbZU,"Jive",3A,USJI10300161
12,"8 Million Stories","A Tribe Called Quest",46,94,"jazz rap, east coast hip hop, hip hop, old school hip hop","Hip Hop, Jazz","Midnight Marauders",1993-11-09,04:20,87,50,25,0,90,30,60,-14,G,4,2024-02-25,0tBlp6zZ4j238CbdXCYy7A,"Jive",9B,USJI10300407
13,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",82,94,"old school hip hop, gangster rap, east coast hip hop, hip hop","Hip Hop","Life After Death (2014 Remastered Edition)",1997-03-04,03:49,90,70,14,0,67,20,20,-3,A,4,2024-02-25,7KwZNVEaqikRSBSpyhXK2j,"Rhino Atlantic",11B,USAT21402725
14,"Big Poppa - 2005 Remaster","The Notorious B.I.G.",80,84,"old school hip hop, gangster rap, east coast hip hop, hip hop","Hip Hop","Ready to Die (The Remaster)",1994-09-13,04:12,78,57,43,0,77,20,10,-7,A minor,4,2024-02-25,2g8HN35AnVGIk7B8yMucww,"Bad Boy Records",8A,USBB40580817
15,"Sound of da Police","KRS-One",64,95,"east coast hip hop, old school hip hop, hip hop, hardcore hip hop","Hip Hop","Return of the Boom Bap",1993-09-03,04:18,79,95,12,0,32,20,10,-9,C♯/D♭,4,2024-02-25,3Y6XWs8xMlCngyIxNOFnsp,"Jive",3B,GBAHK9300100
16,"Shook Ones, Pt. II","Mobb Deep",78,94,"east coast hip hop, old school hip hop, hardcore hip hop, hip hop, gangster rap","Hip Hop","The Infamous",1995-04-25,05:25,76,79,1,1,50,20,0,-6,A#/B♭ minor,4,2024-03-19,33ZXjLCpiINn8eQIDYEPTD,"RCA Records Label",3A,USRC19401295
