#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Another One Bites The Dust - Remastered 2011","Queen",73,110,"classic rock, rock, glam rock","undefined","The Game (Deluxe Remastered Version)",1980-06-27,03:34,93,53,12,33,76,10,10,-6,F minor,4,2018-10-01,57JVGBtBLCfHw2muk5416J,"Hollywood Records",4A,GBUM71029605
2,"Bohemian Rhapsody - Remastered 2011","Queen",75,144,"classic rock, rock, glam rock","undefined","A Night At The Opera (Deluxe Remastered Version)",1975-11-21,05:54,39,40,29,0,23,0,20,-10,C minor,4,2018-10-01,7tFiyTwD0nx5a1eklYtX2J,"Hollywood Records",5A,GBUM71029604
3,"Don't Stop Me Now - Remastered 2011","Queen",75,156,"classic rock, rock, glam rock","undefined","Jazz (Deluxe Remastered Version)",1978-11-10,03:29,56,87,5,0,60,10,70,-5,F,4,2018-10-01,7hQJA50XrCWABAu5v6QZ4i,"Hollywood Records",7B,GBUM71029610
4,"We Will Rock You - Remastered 2011","Queen",70,81,"classic rock, rock, glam rock","undefined","News Of The World (Deluxe Remastered Version)",1977-10-28,02:02,69,50,68,0,47,10,20,-7,D,4,2018-10-01,54flyrjcdnQdco7300avMJ,"Hollywood Records",10B,GBUM71029618
5,"Somebody To Love - Remastered 2011","Queen",69,112,"classic rock, rock, glam rock","undefined","A Day At The Races (Deluxe Remastered Version)",1976-12-10,04:56,50,69,19,0,36,0,20,-7,G#/A♭,3,2018-10-01,6cFZ4PLC19taNlpl9pbGMf,"Hollywood Records",4B,GBUM71029613
6,"Bicycle Race","Queen",0,168,"classic rock, rock, glam rock","undefined","Jazz",1978-11-10,03:02,39,56,6,0,69,10,0,-11,A#/B♭ minor,4,2018-10-01,5rQKjP9forn7JVuiZBj6eZ,"Hollywood Records",3A,GBCEG7800006
7,"Another Brick in the Wall, Pt. 1","Pink Floyd",69,100,"progressive rock, psychedelic rock, classic rock, art rock, rock","undefined","The Wall",1979-11-30,03:11,61,5,94,64,9,0,10,-26,C,4,2018-10-01,7K6xMPtAjTuLPNlJMLf5bS,"Pink Floyd Records",8B,GBN9Y1100097
8,"Another Brick in the Wall, Pt. 2","Pink Floyd",81,104,"progressive rock, psychedelic rock, classic rock, art rock, rock","undefined","The Wall",1979-11-30,03:58,69,39,8,0,72,0,20,-16,C,4,2018-10-01,4gMgiXfqyzZLMhsksGmbQV,"Pink Floyd Records",8B,GBN9Y1100099
9,"Another Brick in the Wall, Pt. 3","Pink Floyd",58,103,"progressive rock, psychedelic rock, classic rock, art rock, rock","undefined","The Wall",1979-11-30,01:14,65,47,6,0,45,0,40,-15,D,4,2018-10-01,5A7eooPKJHtr0UJmatjH4a,"Pink Floyd Records",10B,GBN9Y1100106
10,"Hey Jude","The Beatles",70,74,"classic rock, psychedelic rock","undefined","Love",2006-11-17,03:58,46,63,9,0,59,0,40,-7,F,4,2018-10-01,1eT2CjXwFXNx6oY5ydvzKU,"EMI Catalogue",7B,GBAYE0601566
11,"Roundabout - 2003 Remaster","Yes",1,133,"progressive rock, art rock, aor","undefined","Fragile (Deluxe Edition)",1971-11-26,08:30,41,76,7,1,39,0,0,-9,E minor,4,2018-10-01,0YveezON7jpiaHA8fnUHxN,"Rhino/Elektra",9A,USEE10251885
12,"Killer Queen - Remastered 2011","Queen",68,117,"classic rock, rock, glam rock","undefined","Sheer Heart Attack (Deluxe Remastered Version)",1974-11-08,02:59,54,65,38,0,61,0,10,-6,A#/B♭,4,2018-10-01,7GqWnsKhMtEW0nzki5o0d8,"Hollywood Records",6B,GBUM71029606
13,"Stairway to Heaven - Remaster","Led Zeppelin",81,82,"classic rock, rock, hard rock, rock and roll","undefined","Led Zeppelin IV (Deluxe Edition)",1971-11-08,08:02,34,34,58,0,20,0,10,-12,A minor,4,2018-10-01,5CQ30WqJwcep0pYcV4AMNc,"Atlantic Records",8A,USAT21300959
14,"Comfortably Numb","Pink Floyd",80,127,"progressive rock, psychedelic rock, classic rock, art rock, rock","undefined","The Wall",1979-11-30,06:22,47,37,15,31,17,0,0,-13,B minor,4,2018-10-01,5HNCy40Ni5BZJFw1TKzRsC,"Pink Floyd Records",10A,GBN9Y1100113
15,"Back In Black","AC/DC",85,188,"rock, hard rock, classic rock, rock and roll","undefined","Back In Black",1980-07-25,04:16,31,70,1,1,76,0,0,-6,A,4,2018-10-01,08mG3Y1vljYA6bvDt4Wqkj,"Columbia",11B,AUAP08000046
16,"Knockin' On Heaven's Door","Guns N' Roses",82,132,"rock, glam metal, hard rock, classic rock","undefined","Use Your Illusion II",1991-09-18,05:36,50,74,2,0,38,0,10,-7,F#/G♭,4,2018-10-01,4JiEyzf0Md7KEFFGWDDdCr,"Guns N Roses P&D",2B,USGF19142004
17,"Dream On","Aerosmith",8,161,"classic rock, rock","undefined","Aerosmith",1973-01-05,04:26,31,43,39,0,22,0,30,-10,C♯/D♭,4,2018-10-01,5MxNLUsfh7uzROypsoO5qe,"Columbia",3B,USSM10011897
18,"Highway to Hell","AC/DC",86,116,"rock, hard rock, classic rock, rock and roll","undefined","Highway to Hell",1979-07-27,03:28,57,91,6,0,42,10,10,-5,F#/G♭ minor,4,2018-10-01,2zYzyRzz6pRmhPzyfMEC8s,"Columbia",11A,AUAP07900028
19,"(I Can't Get No) Satisfaction - Mono","The Rolling Stones",77,136,"classic rock, rock","undefined","Out Of Our Heads",1965-07-30,03:42,72,86,4,3,93,0,10,-8,D,4,2018-11-15,2PzU4IB8Dr6mxV3lHuaG34,"ABKCO Music and Records, Inc.",10B,USA176510160
20,"Black Smoke Rising","Greta Van Fleet",66,100,"rock","undefined","From The Fires",2017-11-10,04:19,56,90,20,0,57,0,0,-4,G,4,2023-02-07,32BEasyNQgqXQJKoVa0fUw,"Lava Music/Republic Records",9B,USUM71703681
21,"Good Times Bad Times - 1993 Remaster","Led Zeppelin",68,94,"classic rock, rock, hard rock, rock and roll","undefined","Led Zeppelin",1969-01-12,02:46,48,72,4,0,75,0,0,-9,A,4,2023-02-07,0QwZfbw26QeUoIy82Z2jYp,"Rhino Atlantic",11B,USAT29900534
22,"Sympathy For The Devil - 50th Anniversary Edition","The Rolling Stones",73,116,"classic rock, rock","undefined","Beggars Banquet (50th Anniversary Edition)",1968-12-06,06:18,70,67,52,0,56,20,0,-9,A,4,2023-02-07,1Ud6moTC0KyXMq1Oxfien0,"ABKCO Music & Records",11B,USA171810010
23,"Blitzkrieg Bop - 2016 Remaster","Ramones",71,177,"punk, proto-punk","undefined","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)",1976-04-23,02:14,39,78,0,47,90,20,10,-3,A,4,2023-02-07,4KcH1ZRV2W1q7Flq0QqC76,"Rhino/Warner Records",11B,USRH11601901
24,"You Could Be Mine","Guns N' Roses",72,151,"rock, glam metal, hard rock, classic rock","undefined","Use Your Illusion II",1991-09-18,05:43,35,99,1,56,32,10,30,-6,A#/B♭ minor,4,2023-02-07,0dlTGl67UFWcKupzkxZYOn,"Guns N Roses P&D",3A,USGF19142012
25,"Cum on Feel the Noize","Quiet Riot",70,145,"glam metal, hard rock, glam rock","undefined","Metal Health",1983-00-00,04:50,41,92,1,0,37,10,0,-5,B minor,4,2023-02-07,3vV3cr2TpPqFk07zxYUbla,"Epic/Legacy",10A,USSM18300031
