#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Stay for a While","Gibbz",29,145,"","","Above Water",2016-03-08,03:43,56,56,47,0,73,20,30,-6,G#/A♭,4,2018-10-01,1aQZKoiKKH8Y7bz0C18BGv,"Gibbz",4B,TCACL1641611
2,"Say So","Ady Suleiman",0,65,"","","Not Giving Up / Say So",2017-09-15,03:40,47,70,64,0,78,30,20,-5,C♯/D♭ minor,4,2018-10-01,09B368XAWdIEBVlzcWsOm8,"Pemba",12A,GBGLW1700147
3,"Feel Good (feat. Russ Liquid)","Gibbz, Russ Liquid",35,96,"","","Above Water",2016-03-08,03:46,60,67,19,1,49,10,10,-6,B minor,4,2018-11-03,5J3rc7eMOi86jEPzjIuL6h,"Gibbz",10A,TCACM1601685
4,"Rock 'N' Roll","Taylor Bennett, Zxxk",0,134,"","","BE YOURSELF",2018-07-13,02:49,49,70,33,0,61,10,30,-4,C,4,2020-10-02,4hBa1d11L2roFBSez5STAz,"Tay Bennett Entertainment",8B,QZ85M1801290
5,"Georgia Peach","Manwolves",0,144,"","","A Safety Meeting",2018-09-14,04:06,61,58,68,0,73,10,0,-5,F minor,4,2020-10-02,7DFj4U25OOZdVyddp3SMp5,"Manwolves",4A,ushm81876887
6,"BE YOURSELF","Taylor Bennett, Bianca Shaw",0,175,"","","BE YOURSELF",2018-06-06,04:16,54,79,51,0,89,30,0,-6,F#/G♭ minor,4,2020-10-02,6XW243CHLwfGl7xkespOWW,"Tay Bennett Entertainment",11A,QZ85M1800980
7,"In Quiet Rooms","Ollie MN",31,120,"","","OMN",2015-09-19,05:06,82,35,82,48,38,0,30,-11,G,4,2020-10-02,1IXiBroTLzGMKvd2OTR0GG,"Collab",9B,QM6Y61500046
8,"Disappear Daily","Ollie MN",33,120,"","","Disappear Daily",2018-03-23,03:46,82,47,29,0,45,0,20,-9,F,4,2020-10-02,1oM02hj4TgwSCyvuZ8G1Ip,"667470 Records DK",7B,QM4DW1808905
9,"Until I See You Again","Ollie MN",23,164,"","","Until I See You Again",2017-12-02,03:57,57,50,10,16,40,0,0,-12,D#/E♭,4,2020-10-02,0or8au72kopvX6c6JYB5hh,"667470 Records DK",5B,QZANL1798886
10,"A Little While","Yellow Days",54,100,"bedroom pop","Pop","Harmless Melodies",2016-11-18,05:18,58,60,18,0,35,0,20,-8,D#/E♭ minor,4,2020-12-05,1ahzHj4rfljE8w4ZwpEjOM,"Good Years Music Limited",2A,QM4TW1651052
