#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Stop This Train","John Mayer",64,90,"singer-songwriter","Folk","Continuum",2006-09-11,04:45,62,44,47,1,41,0,10,-12,G,4,2018-01-08,3E6iea9uEmB7gRru4lyP6h,"Aware/Columbia",9B,USSM10603631
2,"Something Good","alt-J",59,109,"indie, indie rock","Pop, Rock","An Awesome Wave",2012-09-18,03:37,68,58,71,32,54,0,0,-10,G,4,2018-01-08,3xqxETvPg43KWP0HOGiOmu,"Canvasback/ATL",9B,GBZUZ1200069
3,"Santa Monica Dream","Angus & Julia Stone",0,121,"","","Down The Way",2010-03-30,05:30,62,26,91,6,7,0,10,-14,F,4,2018-01-08,05riEz6hccTC3AOu2Tj5dG,"Nettwerk Records",7B,AUAP10900004
4,"To All of You","Syd Matters",62,104,"","","Someday We Will Foresee Obstacles",2005-00-00,04:43,31,54,27,8,10,0,10,-12,C♯/D♭ minor,4,2018-01-08,7yC7FWZz24L43brXzNpLWT,"Third Side Records",12A,FRP090400170
5,"Obstacles","Syd Matters",62,127,"","","Someday We Will Foresee Obstacles",2005-00-00,03:28,40,42,24,91,14,0,10,-8,D#/E♭,4,2018-01-08,2ynCjjrmED5CfiVn2ZLkUk,"Third Side Records",5B,FRP090400160
6,"Crosses","José González",0,135,"indie folk","Folk, Rock","Crosses",2003-07-02,02:41,67,37,90,2,32,0,10,-10,B minor,4,2018-01-08,4oVqNvjCS2BrA0v9iV5B14,"Imperial",10A,SEVVX0300101
7,"Mt. Washington","Local Natives",0,77,"","","Hummingbird",2013-00-00,03:18,48,35,21,0,16,0,10,-10,F#/G♭ minor,4,2018-01-08,6RIRK4DenyzKkrrROpVteT,"Infectious",11A,GBZUZ1200056
8,"Seeker of the Sight","George Timothy",31,146,"","","Songs For The Soul",2014-08-01,03:02,54,69,5,22,44,0,10,-9,C minor,4,2018-01-08,4QHXaqe4yLPOHVhsqFoalQ,"West One Music",5A,GBFPN1435112
9,"Mountains","Message To Bears",0,110,"post-rock","Rock","Folding Leaves",2012-00-00,03:54,57,57,64,56,66,0,0,-11,F#/G♭,4,2018-01-08,22v9ZVkWWAYjderL7ZWuuH,"Dead Pilot Records",2B,SEYOK1128678
10,"Heartbeats","José González",63,88,"indie folk","Folk, Rock","Veneer",2006-04-03,02:41,59,18,98,71,31,0,10,-15,D#/E♭,4,2018-01-08,5YqpHuXpFjDVZ7tY1ClFll,"Mute",5B,SEVVX0300201
