#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Cornfield Chase","Hans Zimmer",78,94,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,02:06,18,23,95,98,5,0,10,-16,A minor,4,2023-11-22,6pWgRkpqVfxnj3WuIcJ7WP,"WaterTower Music",8A,USNLR1400774
2,"Dust","Hans Zimmer",58,93,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,05:41,11,12,96,70,3,0,10,-23,E minor,4,2023-11-22,1oFeXti9EanzUrHvWfRrfJ,"WaterTower Music",9A,USNLR1400775
3,"Day One (Interstellar Theme)","Hans Zimmer",71,96,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,03:19,31,2,93,96,7,0,0,-28,A minor,3,2023-11-22,4WmB04GBqS4xPMYN9dHgBw,"WaterTower Music",8A,USNLR1400776
4,"Message from Home","Hans Zimmer",54,84,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,01:40,23,0,95,43,21,0,30,-42,G,4,2023-11-22,7A9l2AElHS3jM8EeESsesm,"WaterTower Music",9B,USNLR1400778
5,"The Wormhole","Hans Zimmer",54,96,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,01:30,14,5,56,89,2,0,0,-29,C,4,2023-11-22,5tWPl23tRGaEbSz3f0lTsW,"WaterTower Music",8B,USNLR1400779
6,"Mountains","Hans Zimmer",65,120,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,03:39,30,6,59,93,4,0,10,-17,A minor,4,2023-11-22,0Sg3UL7f40ulmTh0Xwr6qY,"WaterTower Music",8A,USNLR1400780
7,"Afraid of Time","Hans Zimmer",54,120,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,02:32,25,0,92,2,5,0,10,-39,A minor,3,2023-11-22,1UbDqlLHBY7SxKVamO6hqJ,"WaterTower Music",8A,USNLR1400781
8,"Running Out","Hans Zimmer",51,96,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,01:57,47,11,98,92,36,0,10,-36,F,5,2023-11-22,2S55wdtM46ufVMrRCQwm5o,"WaterTower Music",7B,USNLR1400783
9,"I'm Going Home","Hans Zimmer",52,86,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,05:48,10,18,97,78,3,0,30,-21,C,1,2023-11-22,4GcFycJt14aqnUGiEgG3JH,"WaterTower Music",8B,USNLR1400784
10,"Coward","Hans Zimmer",54,120,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,08:26,43,26,24,88,4,0,20,-19,C,4,2023-11-22,4GBZUZe04pHVN0TLhejCSS,"WaterTower Music",8B,USNLR1400785
11,"Detach","Hans Zimmer",52,119,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,06:42,24,11,19,91,3,0,0,-15,C,4,2023-11-22,4LFTLsnrGGZFtHdjlrV8Gx,"WaterTower Music",8B,USNLR1400786
12,"S.T.A.Y.","Hans Zimmer",64,191,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,06:23,8,3,93,93,3,0,0,-31,F,3,2023-11-22,6GUq9y0Iy5QrAuPYxTrFp2,"WaterTower Music",7B,USNLR1400787
13,"Where We're Going","Hans Zimmer",54,96,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,07:41,23,2,86,95,3,0,30,-24,C,3,2023-11-22,7e41gTSV9fKdsDqOgS47Wg,"WaterTower Music",8B,USNLR1400788
14,"First Step","Hans Zimmer",60,71,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,01:47,16,8,43,95,3,0,10,-19,A minor,4,2023-11-22,1gLLVtr9kIjmyoRzENZ11w,"WaterTower Music",8A,USNLR1400789
15,"Flying Drone","Hans Zimmer",50,96,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,01:53,42,18,96,79,31,0,0,-23,A minor,4,2023-11-22,1xdoNSWRU59XRgtOgoQ1KH,"WaterTower Music",8A,USNLR1400790
16,"Atmospheric Entry","Hans Zimmer",48,74,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,01:40,7,1,0,57,3,0,10,-37,C,3,2023-11-22,3rrIDEeu3ih9dAzop5LiPk,"WaterTower Music",8B,USNLR1400791
17,"No Need to Come Back","Hans Zimmer",48,73,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,04:32,8,3,71,97,3,0,10,-30,A,4,2023-11-22,31MXzK5KypH22SbSH7udKf,"WaterTower Music",11B,USNLR1400792
18,"Imperfect Lock","Hans Zimmer",48,120,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,06:54,53,33,53,82,3,0,10,-27,F,3,2023-11-22,6PUTy3CwaxVbWuAIfAzw8X,"WaterTower Music",7B,USNLR1400793
19,"No Time for Caution","Hans Zimmer",64,120,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,04:06,26,22,5,95,4,0,10,-20,A minor,4,2023-11-22,5aaXqH8rgKZxg61HjECldi,"WaterTower Music",8A,USNLR1400860
20,"What Happens Now?","Hans Zimmer",48,69,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,02:26,19,10,96,94,2,0,20,-28,C,4,2023-11-22,1mFyfphkJZh8njixmeRAxF,"WaterTower Music",8B,USNLR1400794
21,"Who's They?","Hans Zimmer",49,96,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,07:17,25,2,99,96,3,0,0,-29,E minor,4,2023-11-22,2LqPmrNUWC5xo33ONwdooI,"WaterTower Music",9A,USNLR1400795
22,"Murph","Hans Zimmer",49,58,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,11:20,6,12,70,68,3,0,0,-18,C,4,2023-11-22,5GQizQBj0KxTUgd3ZRzaRE,"WaterTower Music",8B,USNLR1400796
23,"Organ Variation","Hans Zimmer",55,66,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,04:51,18,0,93,86,3,0,0,-31,F,4,2023-11-22,6dkJvNZ7DJWzTFXv3KHmoT,"WaterTower Music",7B,USNLR1400797
24,"Tick-Tock","Hans Zimmer",55,120,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,08:18,26,23,27,90,4,0,20,-16,A minor,4,2023-11-22,5Di0EOfzgABjIldD2GaMVm,"WaterTower Music",8A,USNLR1400798
25,"Day One - Original Demo","Hans Zimmer",49,96,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,03:49,35,2,97,93,4,0,0,-25,A minor,3,2023-11-22,1GelvXCuNRJkSTV8UwAAGw,"WaterTower Music",8A,USNLR1400799
26,"Do Not Go Gentle Into That Good Night","Hans Zimmer, John Lithgow, Ellen Burstyn, Casey Affleck, Jessica Chastain, Matthew McConaughey, Mackenzie Foy",46,0,"soundtrack","Classical, Easy Listening","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,01:39,0,5,94,33,0,0,0,-31,F,0,2023-11-22,4vSlIeLQxLnmSMGO8VggwM,"WaterTower Music",7B,USNLR1400800
27,"To the Stars","Max Richter",52,131,"neoclassical, minimalism, classical, ambient","Electronic, New Age, Classical","Ad Astra (Original Motion Picture Soundtrack)",2019-10-17,03:30,16,10,50,94,3,0,10,-25,E minor,3,2023-11-22,03BoaviXTqX4f3cTjrXPKb,"Deutsche Grammophon (DG)",9A,DEUM71905341
28,"Cosmic Drone Gateway","Max Richter",24,94,"neoclassical, minimalism, classical, ambient","Electronic, New Age, Classical","Ad Astra (Original Motion Picture Soundtrack)",2019-10-17,02:57,16,2,37,78,2,0,10,-26,F,4,2023-11-22,0ZcSaAMCWdYkDHp5zjwrT7,"Deutsche Grammophon (DG)",7B,DEUM71905872
29,"I Put All That Away","Max Richter",33,184,"neoclassical, minimalism, classical, ambient","Electronic, New Age, Classical","Ad Astra (Original Motion Picture Soundtrack)",2019-10-17,03:27,30,3,95,89,20,0,0,-32,D minor,4,2023-11-22,3bwvy8JquwAsNUHQKfDrYz,"Deutsche Grammophon (DG)",7A,DEUM71905873
30,"A Trip to the Moon","Max Richter",32,133,"neoclassical, minimalism, classical, ambient","Electronic, New Age, Classical","Ad Astra (Original Motion Picture Soundtrack)",2019-10-17,04:36,26,9,95,93,4,0,0,-33,G,5,2023-11-22,4yzlbf69SNdkRAKF9L5NK2,"Deutsche Grammophon (DG)",9B,DEUM71905874
31,"Terra Incognita","Max Richter",19,180,"neoclassical, minimalism, classical, ambient","Electronic, New Age, Classical","Ad Astra (Original Motion Picture Soundtrack)",2019-10-17,02:49,7,10,99,94,3,0,10,-25,G minor,1,2023-11-22,37uzbA0C7hupI2xCGd9wLw,"Deutsche Grammophon (DG)",6A,DEUM71905875
32,"Journey Sequence","Max Richter",39,92,"neoclassical, minimalism, classical, ambient","Electronic, New Age, Classical","Ad Astra (Original Motion Picture Soundtrack)",2019-10-17,03:20,11,10,59,96,3,0,0,-24,A#/B♭,4,2023-11-22,3FrevVKgfRQfBh9oGxnjaE,"Deutsche Grammophon (DG)",6B,DEUM71905877
