#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Visita","Enjambre",70,152,"mexican indie, rock en español, mexican rock, latin indie, latin rock","Latin, Rock","Daltónico",2010-01-01,03:44,56,92,11,0,93,0,0,-3,E minor,4,2021-09-20,1v15LSVQiEsGm4FK8SH7rI,"EMI Mexico",9A,MX2641000004
2,"Cobarde","Enjambre",60,169,"mexican indie, rock en español, mexican rock, latin indie, latin rock","Latin, Rock","Daltónico",2010-01-01,04:18,20,86,1,0,15,0,10,-4,D,5,2021-09-20,5ODFP1lHT6h1z94zc0mlWU,"EMI Mexico",10B,MX2641000003
3,"Es por Ti","Los Romanticos de Zacatecas",37,160,"mexican indie, latin indie, mexican rock, latin alternative, rock en español","Latin, Rock","Ya Lo Dijo Rufis Taylor",2012-03-16,02:25,36,83,35,0,29,0,10,-3,G,4,2021-09-20,46RX9nBiD5Ygqeiwz4Hl6C,"Los Romanticos de Zacatecas",9B,US7VG1613654
4,"Dulce Soledad","Enjambre",71,165,"mexican indie, rock en español, mexican rock, latin indie, latin rock","Latin, Rock","Daltónico",2010-01-01,03:44,41,91,0,0,34,0,10,-3,A,4,2021-09-20,0BKJNlqLlNvvIunfg2BPCg,"EMI Mexico",11B,MX2641000006
5,"Nadie T.V.","Los Plastics Revolution",20,91,"mexican indie, latin indie, latin alternative","Latin, Rock","Nadie T.V.",2019-08-23,03:55,69,61,1,13,61,0,20,-13,D,4,2021-09-20,56VSZYF5Uxihps7WgT5Var,"DeGira",10B,FR59R1996674
6,"Adolescentes","Los Plastics Revolution",22,128,"mexican indie, latin indie, latin alternative","Latin, Rock","Super Seres de Mundos Extraordinarios",2019-03-01,03:23,78,60,2,0,81,0,0,-8,C,4,2021-09-20,1EPRTeGAC7Ly4kj1FGtVCs,"DeGira",8B,US7VG1742307
7,"Otra Era","Los Plastics Revolution",18,158,"mexican indie, latin indie, latin alternative","Latin, Rock","Super Seres de Mundos Extraordinarios",2019-03-01,02:45,56,80,1,0,66,0,30,-8,C♯/D♭ minor,4,2021-09-20,6Gg52SBH109pGvpjMrw6OJ,"DeGira",12A,QZ5AB1897588
8,"It's Not Living (If It's Not With You)","The 1975",73,121,"","","A Brief Inquiry Into Online Relationships",2018-11-30,04:08,62,84,0,0,53,0,0,-5,C♯/D♭,4,2022-12-01,3TgMcrV32NUKjEG2ujn9eh,"Polydor Records",3B,GBK3W1800838
9,"Vowels (And the Importance of Being Me)","HUNNY",0,150,"indie pop","Pop, Rock","Vowels (And the Importance of Being Me)",2016-04-22,03:04,49,88,0,0,71,0,10,-5,E,4,2022-12-02,2jE3wqMD0Btzsf3cxr0FhO,"HUNNY",12B,TCACN1666155
10,"Daft Pretty Boys","Bad Suns",0,137,"","","Disappear Here",2016-09-16,03:07,66,84,6,0,61,0,0,-5,G#/A♭,4,2022-12-02,41d2Q6DHcM20OdzynkRtvf,"Vagrant Records",4B,QMRSZ1600419
11,"Doing It for the Money","Foster The People",47,155,"","","Sacred Hearts Club",2017-07-21,03:46,56,81,0,0,62,0,10,-5,G minor,4,2022-12-02,6APnYxfLzIg2cejA3v2ljy,"Columbia",6A,USSM11703985
12,"Chelsea Dagger","The Fratellis",63,155,"","","Costello Music",2007-01-01,03:35,51,82,5,0,55,10,0,-3,G,4,2022-12-02,3ItzRpwvKtkDSNdRSjXu7Z,"Interscope",9B,GBUM70601571
13,"Give Me a Try","The Wombats",43,136,"indie","Pop, Rock","Glitterbug (Deluxe Edition)",2015-04-14,03:48,62,92,0,0,68,0,0,-3,C♯/D♭,4,2022-12-02,0gohFCf3LlExQw41BfajZg,"Bright Antenna",3B,GBAHT1400473
14,"A-Punk","Vampire Weekend",2,175,"indie, baroque pop","Classical, Pop, Rock","Vampire Weekend",2008-01-29,02:17,55,82,1,5,86,0,10,-4,D,4,2022-12-02,1595LW73XBxkRk2ciQOHfr,"XL Recordings",10B,GBBKS0700527
15,"Junk Of The Heart (Happy)","The Kooks",62,145,"indie, indie rock","Pop, Rock","Junk Of The Heart",2011-01-01,03:07,60,89,2,0,90,0,0,-5,D,4,2022-12-02,2jZgzSxNSg1hTCq0ewWHGJ,"Virgin",10B,GBAAA1100181
16,"Changing Of The Seasons","Two Door Cinema Club",0,130,"indie","Pop, Rock","Changing Of The Seasons",2013-01-01,03:47,54,88,0,0,55,10,10,-4,D,4,2022-12-02,6gLQrU5bvwPf6BTlCSO6x2,"Glassnote Entertainment Group LLC",10B,GBAYE1301069
17,"Pink Lemonade","The Wombats",43,144,"indie","Pop, Rock","Glitterbug (Deluxe Edition)",2015-04-14,03:46,56,96,0,0,82,0,30,-4,C,4,2022-12-02,7dFERLugNJZUgtX1V3KA4b,"Bright Antenna",8B,GBAHT1400474
18,"What You Know","Two Door Cinema Club",0,139,"indie","Pop, Rock","Tourist History",2010-02-07,03:11,56,76,0,0,81,0,0,-4,F#/G♭ minor,4,2022-12-02,6jrMVRReY24qzCfe1BRrww,"Glassnote",11A,FRU700900116
19,"Wolves (You Got Me)","DREAMERS",38,144,"","","This Album Does Not Exist",2016-08-26,03:42,49,98,2,0,47,0,30,-3,B minor,4,2022-12-02,2NrCdk8AjZdTC50O5Efa6C,"Fairfax Recordings",10A,TCACB1404526
20,"Pachuca Sunrise","Minus the Bear",0,155,"math rock, post-hardcore","Rock","Menos El Oso",2005-08-23,03:35,47,88,3,0,71,0,30,-6,B minor,4,2022-12-02,5UMC0HkqpmwarA1HZ7z3Ck,"Suicide Squeeze Records",10A,US33X0504706
21,"Cardiac Arrest","Bad Suns",0,94,"","","Language & Perspective",2014-07-01,03:02,62,88,5,0,75,0,0,-4,C♯/D♭,4,2022-12-02,6zQyu8L8yUuJkl6LbQ6iKU,"Vagrant Records",3B,USVR91316301
22,"Greek Tragedy","The Wombats",57,93,"indie","Pop, Rock","Glitterbug (Deluxe Edition)",2015-04-14,03:29,52,87,0,0,45,0,20,-5,B,4,2022-12-02,28C4nmrd7BTu0XbOmaTHZr,"Bright Antenna",1B,GBAHT1400467
23,"Lotus Eater","Foster The People",55,87,"","","Sacred Hearts Club",2017-07-21,03:02,60,73,0,0,87,10,50,-5,B minor,4,2022-12-02,6ReKt5x6FVUXTMdWNC6GAQ,"Columbia",10A,USSM11704912
