#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Let’s Go","Stuck in the Sound",58,89,"","","Pursuit",2012-01-30,03:31,49,62,1,0,28,0,10,-5,B minor,4,2022-12-01,1XsN9Flu0VvZpXmrkBtZGt,"Beam",10A,FR3LA1100050
2,"Déjala Ir","Bengala",36,167,"mexican indie, mexican rock, rock en español, latin indie, latin alternative","Latin, Rock","Laberinto",2019-10-18,03:49,57,81,0,1,55,0,20,-6,C♯/D♭ minor,4,2022-12-02,0Fq37kCMVW5K9DHHYDSOWu,"Independiente",12A,FR96X1846987
3,"Oi :)","Lupa",0,140,"brazilian rock","Rock","Oi :)",2019-02-08,02:39,56,68,0,56,59,0,10,-9,D#/E♭,4,2022-12-06,7AtcBzm8ywaQpifSqRdyPH,"Sony Music Entertainment",5B,BXVFC1900001
4,"Justo Eu","Lupa",0,140,"brazilian rock","Rock","Lupercália",2018-09-25,03:18,53,85,2,0,60,0,20,-4,A#/B♭ minor,4,2022-12-06,0UUA5TGZYSRHdulm4zkryg,"Sony Music Entertainment",3A,BXVFC1700002
5,"Bixinho","Lupa",0,156,"brazilian rock","Rock","Bixinho",2019-08-23,02:35,60,90,0,0,81,0,0,-4,F minor,4,2022-12-06,6LGiYQH1psOaO6juSsQNSt,"Sony Music Entertainment",4A,BXVFC1900006
6,"E Se Não Der Pra Esperar?","Lupa",0,130,"brazilian rock","Rock","E Se Não Der Pra Esperar?",2019-04-26,02:46,61,70,9,0,44,0,10,-5,A#/B♭ minor,4,2022-12-06,1piCRT32IRi8gJgVV8UQ8R,"Sony Music Entertainment",3A,BXVFC1900003
7,"Vai Doer","Lupa",0,140,"brazilian rock","Rock","Vai Doer",2019-11-01,02:40,50,91,0,0,46,10,30,-4,G minor,4,2022-12-06,1uRWesw3B5h0x7Ra6IEGg7,"Sony Music Entertainment",6A,BXVFC1900008
8,"Tangerine","Violet Soda",18,164,"brazilian rock","Rock","Tangerine",2018-11-09,03:31,54,51,4,0,54,0,10,-5,E,4,2022-12-06,1KwqgYEgiuczHpHrHXj1uY,"Forever Vacation Records",12B,BRXNZ1800023
9,"Anna Júlia","Los Hermanos",65,148,"brazilian rock, mpb, nova mpb, brazilian pop","Pop, Rock, Latin","Los Hermanos",1999-06-05,03:32,43,82,4,0,46,0,0,-5,D#/E♭,4,2022-12-06,0aASUtDb1N96NJDwmWj5Gf,"Ariola",5B,BRBMG9901028
10,"Despedida","Selvagens à Procura de Lei",45,156,"brazilian rock, nova mpb","Rock, Latin, Pop","Selvagens à Procura de Lei",2013-06-04,04:26,28,86,16,0,44,10,10,-6,D#/E♭ minor,4,2022-12-06,4N4EYC0eF7ix4qh9GkeK2q,"Independent",2A,BRB6X1300005
11,"Cárcel","Bengala",36,162,"mexican indie, mexican rock, rock en español, latin indie, latin alternative","Latin, Rock","Oro",2009-01-01,04:29,33,87,0,0,49,0,30,-3,D minor,4,2023-01-27,4pNSnQU0fU4IIHVEcimPXZ,"Universal Music Mexico",7A,MXUM70900136
12,"Posso Tenerti Con Me","CASX, Forse Danzica",1,140,"","","Posso Tenerti Con Me",2022-11-25,03:09,45,84,4,57,34,0,0,-7,A,4,2023-02-06,0SpalTBYUi9tZ66Ack8GcT,"CASX",11B,ITDI32200268
13,"50/50","The Strokes",48,100,"garage rock, alternative rock, indie rock","Rock","Comedown Machine",2013-03-25,02:43,49,93,0,61,62,0,20,-6,B minor,4,2023-02-06,5MPryR3oJGmWnSYM7X2GGE,"RCA Records Label",10A,USRC11300080
14,"Stuck in the Middle","Burning Hotels",27,171,"","","Eighty Five Mirrors",2007-01-01,03:18,19,92,0,4,58,0,20,-7,B,4,2023-02-06,0PY2VNLoJZHVb6nGZLelgY,"Miss Press",1B,ushm80879937
