#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Summertime In Paris","Jaden, WILLOW",59,91,"","","ERYS (Deluxe)",2019-07-05,04:30,57,86,14,0,29,0,10,-4,A,4,2019-10-30,6XNANAB7sFvkfho6bMCp7o,"MSFTSMusic / Roc Nation Records",11B,QMJMT1902190
2,"Silk","Belaganas, Belle Jewel",0,148,"","","Silk",2018-04-06,03:53,57,64,42,0,60,0,30,-5,E,3,2019-11-11,5th0NJFqsjNJLBS0pL14e3,"Belaganas",12B,TCADO1879892
3,"Haunt You","Social House",44,92,"","","Haunt You",2019-06-14,03:18,66,46,37,0,29,0,10,-9,C,4,2019-11-11,5NjVCNaYDFM0gCT1hES4dr,"Social House/Silent Records",8B,USUG11901387
4,"Street Lights","Kanye West",62,126,"rap","Hip Hop","808s & Heartbreak",2008-11-24,03:09,64,49,3,2,47,0,20,-10,F#/G♭,4,2019-11-11,6j8gTlbhj9KJSeypNcNAS9,"Roc-A-Fella",2B,USUM70846403
5,"CYANIDE","Daniel Caesar",7,158,"","","CASE STUDY 01",2019-06-28,03:14,59,65,70,0,49,30,10,-7,A#/B♭,4,2019-11-11,3uouaAVXpQR3X8RYkJyitQ,"Golden Child Recordings",6B,QM6N21983282
6,"SUPERPOSITION","Daniel Caesar, John Mayer",1,116,"singer-songwriter","Folk","CASE STUDY 01",2019-06-28,04:23,59,28,91,0,33,0,0,-11,E,4,2019-11-11,45PxuJqJBnPXZKLxoo9Apj,"Golden Child Recordings",12B,QM6N21983376
7,"Nights","Frank Ocean",80,90,"","","Blonde",2016-08-20,05:07,46,55,43,0,43,10,10,-9,F minor,4,2019-11-11,7eqoqGkKwgOaWNNHx90uEZ,"Boys Don't Cry",4A,QZ5C81600009
8,"Sanctuary","Joji",1,168,"","","Sanctuary",2019-06-14,03:00,55,65,42,0,32,10,30,-7,C♯/D♭,4,2019-11-11,3xaugmCyXrVkrDTXbFkMW3,"88rising Music/Warner Records",3B,ZZOPM1901038
9,"Electric Love","BØRNS",79,120,"","","Dopamine",2015-10-16,03:38,61,80,1,0,52,0,20,-8,F#/G♭ minor,4,2019-11-11,2GiJYvgVaD2HtM8GqD9EgQ,"UMGRI Interscope",11A,USUM71416307
10,"Summer Time High Time","Cuco, Kwe$t",0,113,"bedroom pop","Pop","Chiquito",2018-05-04,03:28,53,67,4,0,58,0,10,-4,D,4,2019-11-11,7t5MUcFIIayP1M6TNhtWE0,"Cuco",10B,GBKPL1806793
11,"Boogie Island","Shormey",6,84,"","","Boogie Tape, Vol. 1",2019-05-10,04:29,52,74,0,0,80,0,10,-6,F#/G♭,4,2019-11-11,4eiBGgtVdgtevkE6a073j2,"Citrus City Records",2B,QZDA61936815
