#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Vámonos De Viaje","Bandalos Chinos",0,129,"latin indie, mexican indie, latin alternative","Latin, Rock","BACH",2018-00-00,03:56,76,75,3,0,88,0,30,-6,F,4,2022-03-18,6KVK1XO1Xzy7KGfoOockqA,"Virgin Music Label And Artist Services (P&D)",7B,ARKPH1800001
2,"muero x ti","Noah Pino Palo, CLUBZ",0,101,"latin indie, mexican indie, latin alternative","Latin, Rock","muero x ti",2020-03-20,03:57,85,51,56,0,81,0,0,-10,F minor,4,2021-11-04,195jacyDVOr5rZ0A1bewsX,"Turista Universal",4A,MXD782001045
3,"Áfrika","CLUBZ",42,194,"latin indie, mexican indie, latin alternative","Latin, Rock","Destellos",2018-09-28,03:43,58,73,5,23,79,0,10,-5,C♯/D♭,4,2022-03-18,5cY6iwmzNfroYMCuLOlJio,"CLUBZ",3B,MX3741700490
4,"¿Qué Tiene?","Ximena Sariñana",58,88,"latin indie, mexican indie, latin alternative","Latin, Rock","¿Dónde Bailarán Las Niñas?",2019-03-01,02:57,71,53,63,0,70,10,0,-8,A#/B♭ minor,4,2022-03-18,1n39WXv58zOCFVLnGlVJNg,"WM Mexico",3A,MXF151800238
5,"Ojos Negros","Paula Cendejas, Girl Ultra",35,124,"latin r&b, latin indie","Latin, Rock, R&B","Ojos Negros",2020-09-09,03:19,71,59,48,0,71,20,20,-8,A minor,4,2021-03-11,0hjbmFnvWmn9QPlEUKJUK3,"WM Spain",8A,ES5152000909
6,"Morfina","Kiddie Gang",41,140,"latin r&b","Latin, R&B","Morfina",2019-08-01,03:11,69,32,71,36,37,0,10,-13,C minor,4,2021-01-23,2ahUaJKZpeVF2ynKmUE2Ok,"Finesse Records",5A,UST8K1869335
7,"Mayagüez","Los Wálters",31,110,"latin indie, latin alternative, mexican indie","Latin, Rock","Isla Disco",2016-10-27,03:34,73,87,14,88,44,0,0,-8,D,4,2022-03-07,63UyxCwQAk7Uzpiw6nZxtl,"Isla Disco",10B,USX3D1608504
8,"Malas Amistades","Vanessa Zamora",0,76,"latin indie, mexican indie, latin alternative, latin r&b","Latin, Rock, R&B","Tornaluna",2018-10-05,04:10,77,37,19,0,81,0,10,-10,G#/A♭ minor,4,2021-06-28,70VXWtjr5ADUrqfJG2B4VX,"Cosmica",1A,QM8E51400206
9,"Fluir","Jardín",35,123,"mexican indie, latin indie, latin alternative","Latin, Rock","Todo Es Temporal",2015-11-25,03:52,56,51,11,1,35,0,10,-10,C♯/D♭ minor,4,2021-06-28,2UxrK7r4cyQOSh7wvdQTe1,"Jardín",12A,TCACK1552377
10,"nadie me cae bien","Little Jesus, Jesse Baez",39,160,"mexican indie, latin indie, latin alternative, latin r&b","Latin, Rock, R&B","nadie me cae bien",2021-08-27,03:48,65,62,13,13,85,0,10,-10,G,4,2021-09-01,35bu49h6EEYptKobXmBQma,"Sony Music México",9B,MXF012100196
11,"Golden Choice","Little Jesus",36,82,"mexican indie, latin indie, latin alternative","Latin, Rock","Río Salvaje",2016-06-17,03:48,75,31,31,23,46,0,10,-11,C,4,2021-08-01,2EfDz9cgsVfwM1AcDWsSyN,"Nuevos Amigos",8B,MX3741600027
12,"Isla","Bandalos Chinos",52,100,"latin indie, mexican indie, latin alternative","Latin, Rock","Isla",2016-09-09,05:52,58,64,33,5,37,0,10,-8,C,4,2022-03-18,4itQ4aRHnlAhzmhcKW0uKk,"Bandalos Chinos",8B,ARKPH1600001
13,"Calma","Los Wálters",32,120,"latin indie, latin alternative, mexican indie","Latin, Rock","Caramelo",2018-06-14,04:24,71,49,13,86,69,0,0,-8,C minor,4,2022-03-07,0SPr1VZrc4sQ0IWz3iXkr6,"Los Wálters",5A,USX3D1800601
14,"Sin Morir","Fabiancito",0,169,"latin indie","Latin, Rock","Casa Pepe",2020-01-17,03:22,44,74,5,0,51,0,20,-8,F#/G♭ minor,4,2021-03-23,35JduJPYqIOXasi2Q4bZe0,"Lagartija Records",11A,GBMA21874011
15,"Locos","León Larregui",76,112,"rock en español, mexican indie, latin indie, latin alternative","Latin, Rock","Voluma",2016-03-11,02:57,72,65,7,0,96,0,0,-6,A#/B♭,4,2022-03-18,3GSMdtJphymHEsR8K9jT5Q,"Universal Music Mexico",6B,MXUM71502650
16,"Beso","Jósean Log",78,123,"mexican indie, latin indie","Latin, Rock","Háblate de Mí",2016-10-14,03:31,79,56,60,0,86,0,10,-9,G minor,4,2021-09-24,4PpuZIMmeng6qPicveSI22,"Jósean Log",6A,QZ5AB1610257
17,"Flores, Labios, Dedos","Niños Del Cerro",32,156,"latin indie, neo-psychedelic","Latin, Rock","Lance",2018-08-31,03:37,36,78,0,17,35,0,0,-6,F,3,2022-03-18,0J6EMaFe8RrnQxKwyJZpqz,"Quemasucabeza",7B,CLLL21700466
18,"Fuegos Artificiales","Simón Campusano",14,144,"latin indie","Latin, Rock","Fuegos Artificiales",2020-10-02,05:08,46,81,49,3,38,0,10,-7,A,3,2021-03-23,79tIsqOGARi6Zy9O8r963v,"Quemasucabeza",11B,CLLL22000630
19,"Durmiendo en el Parque","Niños Del Cerro",29,126,"latin indie, neo-psychedelic","Latin, Rock","Durmiendo en el Parque",2020-01-10,03:59,62,96,1,1,71,0,10,-6,G,4,2021-03-23,5UoDMOmgoxkrZTaGa772Y1,"Quemasucabeza",9B,CLLL21900588
20,"Quiero Estar","Bratty",46,160,"mexican indie, latin indie","Latin, Rock","Delusión",2019-03-01,03:13,61,79,58,2,64,0,10,-6,A,4,2021-06-28,7EjYMczG2zkInd4Rs5Y2Oc,"Universal Music Mexico",11B,USHM21941429
21,"Toca Madera","Los Wálters",29,110,"latin indie, latin alternative, mexican indie","Latin, Rock","#ponteelcasco",2013-04-15,04:12,57,70,0,69,18,0,60,-9,B minor,4,2022-03-07,3uuFWFeuJR3srECmr6BdfK,"Los Wálters",10A,USX3D1300006
