#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"CASH MANIAC | CAZH MAN1AC [FEAT. NYYJERYA]","Denzel Curry, Nyyjerya",45,119,"","","TA13OO",2018-07-27,03:18,54,69,9,0,40,40,50,-7,B minor,3,2024-02-25,5ZJABzmKr9flocrtQqbINO,"Loma Vista",10A,USC4R1802450
2,"679 (feat. Remy Boyz)","Fetty Wap, Remy Boyz",75,190,"","","679 (feat. Remy Boyz)",2015-06-29,03:16,62,72,0,0,60,30,60,-6,G,4,2024-02-25,5NQbUaeTEOGdD6hHcre0dZ,"300 Entertainment/RGF Productions",9B,QMCE31500250
3,"Miss The Rage (feat. Playboi Carti)","Trippie Redd, Playboi Carti",2,77,"melodic rap, rage rap","Hip Hop","Miss The Rage (feat. Playboi Carti)",2021-05-07,03:56,58,86,1,0,37,10,80,-6,G#/A♭,4,2024-02-25,2BITQ360Knh6qNAOqR7Dyq,"1400 Entertainment / 10K Projects",4B,QZJ842000983
4,"@ MEH","Playboi Carti",58,151,"rage rap","Hip Hop","@ MEH",2020-04-16,02:46,88,49,1,0,40,10,0,-8,B minor,4,2024-02-25,5UusfWUMMLEXLMc1ViNZoe,"AWGE Label",10A,USUM72007425
5,"On That Time","Playboi Carti",65,150,"rage rap","Hip Hop","Whole Lotta Red",2020-12-25,01:42,60,48,1,0,5,0,20,-4,C,4,2024-02-25,3dl8bSF08LQfCf4T6CCksf,"AWGE/Interscope Records",8B,USUM72024695
6,"New Tank","Playboi Carti",68,151,"rage rap","Hip Hop","Whole Lotta Red",2020-12-25,01:29,82,64,3,0,17,20,10,-5,A#/B♭ minor,4,2024-02-25,4txKMpsSfZRV6durPuHVq0,"AWGE/Interscope Records",3A,USUM72024686
7,"ILoveUIHateU","Playboi Carti",76,135,"rage rap","Hip Hop","Whole Lotta Red",2020-12-25,02:15,68,69,1,0,11,0,50,-7,E minor,4,2024-02-25,1BpKJw4RZxaFB88NE5uxXf,"AWGE/Interscope Records",9A,USUM72024701
8,"hldmyhnd .wav","Destroy Lonely Archived",0,136,"","","hldmyhnd .wav",2021-05-05,01:52,68,55,0,0,56,20,30,-9,C♯/D♭,4,2024-02-25,08wOXPSJUtwXG7iEcWWznw,"Summrs Archived Records",3B,QZQGC2201732
9,"Monëy so big","Yeat",2,138,"rage rap","Hip Hop","Up 2 Më",2021-09-10,02:40,69,57,12,0,35,0,10,-8,D,4,2024-02-25,7BbaIYAdi3pg4MGl6PHwPv,"TwizzyRich",10B,USLD91734275
10,"Sorry Bout That","Yeat",1,142,"rage rap","Hip Hop","4L",2021-06-10,03:06,73,64,0,0,49,10,20,-8,F#/G♭ minor,4,2024-02-25,4VHkjPgAis9JNfc1URn7zZ,"TwizzyRich",11A,QZHNA2168123
11,"Poppin","Yeat",64,75,"rage rap","Hip Hop","2 Alivë",2022-02-18,02:47,71,61,26,0,26,10,20,-7,G,4,2024-02-25,3wn8nOygkHLUQ9dlXM1rKW,"Field Trip Recordings/Geffen Records",9B,USUM72202097
12,"Tell Em","Cochise, $NOT",71,158,"rage rap","Hip Hop","Tell Em",2021-05-28,03:00,67,72,10,0,47,20,40,-7,F,4,2024-02-25,7nc7mlSdWYeFom84zZ8Wr8,"Columbia",7B,USSM12103018
13,"POCKET ROCKET","Cochise",62,161,"rage rap","Hip Hop","POCKET ROCKET",2021-08-20,02:11,71,65,2,0,78,20,0,-5,D minor,3,2024-02-25,1FKG2wgJ75wS9MFNVZFiWd,"Columbia",7A,USSM12105931
14,"DO IT AGAIN","Cochise",39,146,"rage rap","Hip Hop","DO IT AGAIN",2022-03-04,02:10,70,66,14,0,22,10,10,-6,D,4,2024-02-25,2fvAP52y708KxkAOnI5LYa,"Columbia",10B,USSM12201903
15,"After Party","Don Toliver",73,163,"","","Heaven Or Hell",2020-03-13,02:47,63,69,1,33,45,0,60,-8,F,4,2024-02-25,527k23H0A4Q0UJN3vGs0Da,"We Run It Ent./Cactus Jack/Atlantic",7B,USAT22001223
16,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby, Gunna",79,113,"melodic rap","Hip Hop","Drip Harder",2018-10-05,02:25,90,66,9,0,39,20,50,-7,C♯/D♭ minor,4,2024-02-25,78QR3Wp35dqAhFEc2qAGjE,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",12A,USUG11801811
17,"BANKROLL (feat. A$AP Rocky & A$AP Ferg)","BROCKHAMPTON, A$AP Rocky, A$AP Ferg",45,149,"rap","Hip Hop","ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09,03:22,78,54,8,0,58,20,10,-9,G minor,4,2024-02-25,3MK6OsCb4VJGdPxvXjW8Q9,"Question Everything/RCA Records",6A,USRC12100218
18,"R.I.P.","Playboi Carti",72,140,"rage rap","Hip Hop","Die Lit",2018-05-11,03:12,73,73,1,0,52,10,0,-6,G#/A♭ minor,4,2024-02-25,3L0IKstjUgDFVQAbQIRZRv,"AWGE Label",1A,USUM71804150
19,"HEAT","BROCKHAMPTON",43,78,"","","SATURATION",2017-06-09,04:32,69,74,9,0,41,30,10,-6,G#/A♭,4,2024-02-25,2maEFaoAyNjQVv14Hm4esN,"QUESTION EVERYTHING, INC. / EMPIRE",4B,USUYG1144822
20,"CIGARETTE","Lil Uzi Vert",0,125,"melodic rap","Hip Hop","RED & WHITE",2022-07-25,03:02,70,63,14,0,26,0,0,-5,G#/A♭,4,2024-02-25,65WWVRr7r0KgAuKET5Tu92,"Generation Now/Atlantic",4B,USAT22210838
21,"Vamp Anthem","Playboi Carti",70,164,"rage rap","Hip Hop","Whole Lotta Red",2020-12-25,02:04,64,69,1,0,64,20,30,-5,B,4,2024-02-25,4CzhtKifG867Lu5DNQVBSA,"AWGE/Interscope Records",1B,USUM72024688
22,"STAR","BROCKHAMPTON",46,75,"","","SATURATION",2017-06-09,02:41,78,39,15,0,29,20,30,-9,C,4,2024-02-25,1xfFPJdRjgDAaMcDgbXwyh,"QUESTION EVERYTHING, INC. / EMPIRE",8B,USUYG1144807
