#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"The Ills","Denzel Curry",49,84,"","","Melt My Eyez See Your Future",2022-03-25,03:22,73,69,38,0,46,20,0,-7,A#/B♭ minor,4,2024-02-25,3xYvDtt9IxWn6xJNapCv9u,"Loma Vista Recordings",3A,USC4R2211737
2,"Slow Jamz","Twista, Kanye West, Jamie Foxx",72,145,"rap","Hip Hop","The College Dropout",2004-02-10,05:16,56,73,31,0,61,10,20,-6,D minor,4,2024-02-25,3A4cpTBPaIQdtPFb5JxtaX,"Roc-A-Fella",7A,USAT20303708
3,"Dragonball Durag","Thundercat",62,81,"","","It Is What It Is",2020-04-03,03:01,65,59,70,81,40,0,10,-10,D,4,2024-02-25,7eWGnKg4B44sbBPpQp4y2c,"Brainfeeder",10B,GBCFB2000018
4,"Buff Baby","tobi lou",50,156,"","","tobi lou and the Loop",2018-04-27,03:35,73,77,24,0,51,0,10,-6,F,4,2024-02-25,1F1QmI8TMHir9SUFrooq5F,"Artclub / EMPIRE",7B,USUYG1194990
5,"Funny Thing","Thundercat",72,140,"","","It Is What It Is",2020-04-03,01:56,59,89,83,64,65,40,20,-9,G,3,2024-02-25,1c5CllrZr45UBhWpIqM332,"Brainfeeder",9B,GBCFB2000016
6,"Sideshow 2","Young Black Heart",20,155,"","","Where Words Fail, Music Speaks",2021-02-12,02:16,68,44,36,0,74,0,10,-15,C♯/D♭,4,2024-02-25,5iCLr03psNFwmL2NcIN4Q7,"Young Black Heart",3B,QZHPJ2037395
7,"Walkin","Denzel Curry",66,136,"","","Melt My Eyez See Your Future",2022-03-25,04:40,56,65,13,0,39,20,20,-7,B minor,4,2024-04-01,1q8DwZtQen5fvyB7cKbShC,"Loma Vista Recordings",10A,USC4R2211725
8,"ARE YOU WITH THAT?","Vince Staples",57,126,"","","Vince Staples",2021-07-09,02:18,86,42,54,0,56,20,10,-11,C♯/D♭ minor,4,2025-10-04,5OFEJMirg4NPz7G1zgXDYu,"Blacksmith Recordings/Motown Records",12A,USUM72104401
9,"Doomsday","MF DOOM, Pebbles The Invisible Girl",73,95,"experimental hip hop, east coast hip hop, jazz rap, alternative hip hop","Hip Hop, Jazz","Operation: Doomsday (Complete)",1999-10-19,04:58,86,84,10,0,79,30,0,-8,F#/G♭ minor,4,2025-10-04,7EQvdUJqZ2i7SWvSB2VqGA,"Metalface Records",11A,US2S71104002
10,"HONEST","Baby Keem",75,79,"","","DIE FOR MY BITCH",2019-07-19,02:52,68,54,40,0,37,0,10,-9,D,4,2025-10-04,58k32my5lKofeZRtIvBDg9,"Baby Keem LLC",10B,QM6N21900313
