#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"XO TOUR Llif3","Lil Uzi Vert",1,155,"melodic rap","Hip Hop","XO TOUR Llif3",2017-03-24,03:02,73,75,0,0,40,20,10,-6,B minor,4,2024-02-25,2eMwDehkIC1j68U6FA3Eiq,"Generation Now/Atlantic",10A,USAT21700684
2,"Redbone","Childish Gambino",0,160,"",""," Awaken, My Love! ",2016-12-02,05:26,75,36,17,1,61,0,10,-10,C♯/D♭,4,2024-02-25,3kxfsdsCpFgN412fpnW85Y,"Glassnote Entertainment Group LLC",3B,USYAH1600107
3,"Lucid Dreams","Juice WRLD",0,84,"melodic rap, emo rap","Hip Hop, Rock","Lucid Dreams",2018-05-04,03:59,44,48,38,0,22,20,30,-10,B minor,4,2024-02-25,32iYwQ4OYiurnGnOfJ1aEh,"Juice WRLD Mixtape / ISR P&D",10A,USUG11800685
4,"Midsummer Madness","88rising, Joji, Rich Brian",0,90,"indonesian hip hop","Hip Hop","Head In The Clouds",2018-07-20,04:40,41,68,36,0,17,0,10,-8,A,4,2024-02-25,6TodWdTSDfzwgYynTZSvJn,"88rising Music/Warner Records",11B,ZZOPM1800318
5,"Feels Like Summer","Childish Gambino",72,166,"","","Summer Pack",2018-07-11,04:57,55,60,16,0,25,10,0,-8,G,4,2024-02-25,7p4vHnYXkxlzvfePJVpcTr,"Wolf+Rothstein/RCA Records",9B,USRC11802773
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee",82,90,"","","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",2018-12-14,02:38,76,48,55,0,91,0,0,-6,D,4,2024-02-25,3KkXRkHbMCARz0aVfEt68P,"Universal Records",10B,USUM71814888
7,"SIR BAUDELAIRE (feat. DJ Drama)","Tyler, The Creator, DJ Drama",56,128,"southern hip hop","Hip Hop","CALL ME IF YOU GET LOST",2021-06-25,01:28,47,64,31,0,51,10,80,-6,G,3,2024-02-25,4ydmav4vl7hebadtfZtMrg,"Columbia",9B,USQX92102129
8,"CORSO","Tyler, The Creator",60,98,"","","CALL ME IF YOU GET LOST",2021-06-25,02:26,70,85,17,0,75,30,10,-5,A#/B♭ minor,4,2024-02-25,46oHvXwpEZOFX518we1nJD,"Columbia",3A,USQX92102130
9,"LEMONHEAD (feat. 42 Dugg)","Tyler, The Creator, 42 Dugg",59,137,"","","CALL ME IF YOU GET LOST",2021-06-25,02:10,62,59,16,0,49,20,50,-7,C♯/D♭,4,2024-02-25,5fbHRCsGpFIOLRtlhCRFDR,"Columbia",3B,USQX92102131
10,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",71,142,"trap soul","Hip Hop, R&B","CALL ME IF YOU GET LOST",2021-06-25,02:01,49,65,27,0,85,0,50,-6,C minor,4,2024-02-25,5B0kgjHULYJhAQkK5XsMoC,"Columbia",5A,USQX92102132
11,"LUMBERJACK","Tyler, The Creator",59,171,"","","CALL ME IF YOU GET LOST",2021-06-25,02:18,39,76,12,0,43,50,50,-6,A,4,2024-02-25,0BiK5BbYNFLb88CCOxBFJe,"Columbia",11B,USQX92102133
12,"RUNITUP (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",58,116,"","","CALL ME IF YOU GET LOST",2021-06-25,03:49,67,47,56,0,14,10,20,-8,A#/B♭ minor,4,2024-02-25,13HsOwrwTA5HgLuoaDHncP,"Columbia",3A,USQX92102136
13,"MANIFESTO (feat. Domo Genesis)","Tyler, The Creator, Domo Genesis",53,92,"","","CALL ME IF YOU GET LOST",2021-06-25,02:55,45,87,12,1,52,30,10,-5,D,4,2024-02-25,6qouBO0wJtYc3k7DfKRUBx,"Columbia",10B,USQX92102137
14,"JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)","Tyler, The Creator, Lil Uzi Vert, Pharrell Williams",61,142,"melodic rap","Hip Hop","CALL ME IF YOU GET LOST",2021-06-25,02:26,83,57,2,0,62,30,10,-8,B,4,2024-02-25,7z4xW9WY86uH3gd1V9pfCM,"Columbia",1B,USQX92102142
15,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis",89,79,"","","Flower Boy",2017-07-21,03:00,56,56,37,0,62,10,10,-9,F#/G♭,4,2024-02-25,7KA4W4McWYRpgf0fWsJZWB,"Columbia",2B,USQX91701275
16,"EARFQUAKE","Tyler, The Creator",78,80,"","","IGOR",2019-05-17,03:10,55,50,23,0,41,0,80,-9,A,4,2024-02-25,5hVghJ4KaYES3BFUATCYn0,"Columbia",11B,USQX91901111
17,"Wishing Well","Juice WRLD",77,150,"melodic rap, emo rap","Hip Hop, Rock","Legends Never Die",2020-07-10,03:14,65,61,0,0,8,10,20,-6,A minor,4,2024-02-25,2U5WueTLIK5WJLD7mvDODv,"Grade A Productions/Interscope Records",8A,USUG12001905
18,"Pothole (feat. Jaden Smith)","Tyler, The Creator, Alexander Brettin, Jaden",61,89,"","","Flower Boy",2017-07-21,03:57,54,57,51,0,57,30,20,-9,B,4,2024-02-25,5SxlUF7J8tyFIEF22EomeP,"Columbia",1B,USQX91701277
19,"Garden Shed (feat. Estelle)","Tyler, The Creator, Estelle",64,113,"","","Flower Boy",2017-07-21,03:43,42,46,38,2,15,0,10,-8,D minor,4,2024-02-25,6ACiYjq5Q7e6BlhZEHz7cd,"Columbia",7A,USQX91701278
20,"Boredom (feat. Rex Orange County & Anna of the North)","Tyler, The Creator, Rex Orange County, Anna of the North",66,80,"bedroom pop","Pop","Flower Boy",2017-07-21,05:20,56,58,79,0,24,10,30,-10,G#/A♭,4,2024-02-25,5WNYg3usc6H8N3MBEp4zVk,"Columbia",4B,USQX91701279
21,"I Ain't Got Time!","Tyler, The Creator",59,109,"","","Flower Boy",2017-07-21,03:26,55,73,5,0,55,40,10,-7,C♯/D♭,4,2024-02-25,430qNtapCS3Ue1yoSql1oV,"Columbia",3B,USQX91701280
22,"911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)","Tyler, The Creator, Frank Ocean, Steve Lacy",70,90,"","","Flower Boy",2017-07-21,04:15,48,61,5,0,30,30,30,-7,C,4,2024-02-25,4bEcoz1OcfMgUbp2ft8ieQ,"Columbia",8B,USQX91701281
23,"November","Tyler, The Creator",64,92,"","","Flower Boy",2017-07-21,03:45,55,76,35,0,57,40,60,-7,C♯/D♭ minor,4,2024-02-25,4XDpeWqPADoWRKcUY3dC84,"Columbia",12A,USQX91701284
24,"Glitter","Tyler, The Creator",66,79,"","","Flower Boy",2017-07-21,03:44,45,43,31,0,37,20,60,-12,C♯/D♭,5,2024-02-25,0qtK3XwbuG153dmwB8iepL,"Columbia",3B,USQX91701285
25,"SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","Tyler, The Creator, Brent Faiyaz, Fana Hues",73,140,"r&b, alternative r&b","Pop, R&B","CALL ME IF YOU GET LOST",2021-06-25,09:48,47,65,33,0,39,0,50,-5,C,4,2024-02-25,3EG9FJ0ToLfgnc1IG2Z1wz,"Columbia",8B,USQX92102138
26,"Hummingbird (Metro Boomin & James Blake)","Metro Boomin, James Blake",66,81,"","","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)",2023-06-02,05:19,60,63,38,0,24,10,10,-8,F#/G♭,4,2024-02-25,6HexNTb392JS071DoTGo0y,"Republic Records",2B,USUM72307467
27,"ROXANNE","Arizona Zervas",75,117,"","","ROXANNE",2019-10-10,02:43,62,60,5,0,46,10,40,-6,F#/G♭ minor,5,2024-02-25,696DnlkuDOXcMAnKlTgXXK,"Arizona Zervas",11A,USSM11914320
28,"Heartbeat","Childish Gambino",8,120,"","","Camp",2011-11-15,04:29,80,55,0,0,29,10,0,-7,C♯/D♭ minor,4,2024-02-25,0zo4aX57COch7Wh3NRImTM,"Glassnote Entertainment Group LLC",12A,USYAH1100351
29,"L$D","A$AP Rocky",73,120,"rap","Hip Hop","AT.LONG.LAST.A$AP",2015-05-26,03:58,60,25,19,13,4,0,10,-15,D,4,2024-02-25,4S7YHmlWwfwArgd8LfSPud,"A$AP Worldwide/Polo Grounds Music/RCA Records",10B,USRC11500789
30,"TEST DRIVE","Joji",0,75,"","","TEST DRIVE",2018-10-16,02:59,65,65,71,0,47,0,10,-9,D#/E♭,4,2024-02-25,5W1DiMUBM2vAcXhXieeVD6,"88rising Music/12Tone Music, LLC",5B,ZZOPM1800561
