#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"La Magia","Little Jesus",0,157,"mexican indie, latin indie, latin alternative","Latin, Rock","Río Salvaje",2017-04-07,04:05,57,88,1,0,48,0,30,-7,A#/B♭,4,2023-02-06,6NALumxGj6tUkYdk5HYpla,"Nacional Records",6B,MX3741600024
2,"Los Años Maravillosos","Little Jesus",40,137,"mexican indie, latin indie, latin alternative","Latin, Rock","Disco de Oro",2019-05-24,04:23,56,63,1,2,59,0,20,-8,C♯/D♭,4,2023-02-06,1996GjeJ5X2eekrXatFiYF,"RCA Records Label",3B,MXF011800651
3,"Nuevo México","Little Jesus",36,155,"mexican indie, latin indie, latin alternative","Latin, Rock","Río Salvaje",2016-06-17,03:35,72,47,8,0,93,0,10,-9,D,4,2023-02-06,0PBHDqIm5rrlC4iln6pWsY,"Nuevos Amigos",10B,MX3741600029
4,"Cuernavaca","Los Plastics Revolution",33,160,"mexican indie, latin indie, latin alternative","Latin, Rock","Super Seres de Mundos Extraordinarios",2019-03-01,02:53,55,64,2,12,84,0,10,-7,C♯/D♭,4,2023-02-06,7JFcITpL0mj6FacNcKEW2m,"DeGira",3B,QZ5AB1955537
5,"Natsuko","Los Plastics Revolution",22,137,"mexican indie, latin indie, latin alternative","Latin, Rock","Natsuko",2014-01-15,04:19,46,75,0,49,71,0,10,-7,D,4,2023-02-06,30NffcEvdFgNmFaB73FD4g,"IARCRDS - Dos Pelicanos",10B,TCABT1433276
6,"Kilimanjaro","Tripulación de Osos",25,80,"latin indie","Latin, Rock","Kilimanjaro",2020-03-27,03:04,46,90,1,4,84,0,30,-7,G minor,4,2023-02-06,2p8pMa2eYKsDJ3QoA3nNNx,"Poli Music",6A,ES71G2012705
7,"Departamento","Bandalos Chinos, Adan Jodorowsky",0,125,"latin indie, mexican indie, latin alternative","Latin, Rock","Departamento",2019-08-02,03:54,70,68,30,0,70,0,20,-6,G#/A♭,4,2023-02-06,2RGk67GArzQcQa3AWSulJb,"Independiente",4B,ARKPH1900001
8,"Los Ángeles, California","Little Jesus",35,144,"mexican indie, latin indie, latin alternative","Latin, Rock","Disco de Oro",2019-05-24,04:45,27,57,3,1,17,0,10,-8,G,4,2025-01-28,5VYaHqFTsRjvqgaox7Iu6C,"RCA Records Label",9B,MXF011900100
9,"La Duda","Enjambre",62,150,"mexican indie, rock en español, mexican rock, latin indie, latin rock","Latin, Rock","Daltónico",2010-01-01,03:14,50,92,28,0,33,10,10,-3,A,4,2025-05-31,3t84sDh2rO5GplkWsmKqoc,"EMI Mexico",11B,MX2641000011
10,"00:00","Siddhartha",70,159,"mexican indie, latin indie, latin alternative, rock en español","Latin, Rock","00:00",2022-03-31,03:35,49,73,6,1,56,0,10,-5,A#/B♭ minor,3,2025-05-31,7l4cSfrED7RrtT0t5CSOzv,"Sony Music México",3A,MXF202100003
