#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"クロノスタシス","Kinokoteikoku",51,84,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,03:47,46,76,3,1,70,0,10,-6,C♯/D♭,4,2020-03-28,6Mavd9uk89Y9OTdvcDTfGG,"DAIZAWA RECORDS",3B,JPB451403392
2,"東京","Kinokoteikoku",44,81,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,05:05,46,61,2,0,29,0,30,-5,F,4,2020-03-28,7jXmSHYnTaV5CVr2knYhO3,"DAIZAWA RECORDS",7B,JPB451403370
3,"You outside my window","Kinokoteikoku",43,130,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,04:01,44,91,0,4,59,0,30,-4,F#/G♭ minor,4,2020-03-28,0ptW09x2Qjv00t076WBLWF,"DAIZAWA RECORDS",11A,JPB451403394
4,"ヴァージン・スーサイド","Kinokoteikoku",39,100,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,03:40,35,66,0,33,24,0,10,-5,D#/E♭,4,2020-03-28,124yhXmfewTTdLWcT9F0p8,"DAIZAWA RECORDS",5B,JPB451403393
5,"Unknown Planet","Kinokoteikoku",22,86,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,00:41,38,92,11,95,43,0,30,-4,A minor,4,2020-03-28,3pHtuifwB1TC1YDeSlMpZo,"DAIZAWA RECORDS",8A,JPB451403395
6,"あるゆえ","Kinokoteikoku",30,82,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,06:38,45,65,2,4,13,0,0,-6,C,4,2020-03-28,6xNvjHHey20VDDjSvD6f7Z,"DAIZAWA RECORDS",8B,JPB451403396
7,"24","Kinokoteikoku",21,80,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,01:17,65,30,56,81,4,10,10,-10,C minor,4,2020-03-28,1tRtGXe6LdLbL25tKhnGvR,"DAIZAWA RECORDS",5A,JPB451403397
8,"フェイクワールドワンダーランド","Kinokoteikoku",24,98,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,01:46,50,34,38,0,58,0,10,-8,G#/A♭,3,2020-03-28,4BecKiTQpgcM7JP4zsCcUU,"DAIZAWA RECORDS",4B,JPB451403398
9,"ラストデイ","Kinokoteikoku",32,80,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,05:07,41,70,1,0,30,0,10,-5,E,4,2020-03-28,2CBYXC4c0WKDQj7WXJr8Tz,"DAIZAWA RECORDS",12B,JPB451403399
10,"疾走","Kinokoteikoku",34,98,"japanese indie, shoegaze, j-rock, math rock, dream pop","Pop, Rock","フェイクワールドワンダーランド",2014-10-29,04:38,30,73,2,0,29,0,20,-3,G,4,2020-03-28,1DANFBPTZGP2qkBj2U3kBh,"DAIZAWA RECORDS",9B,JPB451403400
