#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Eternal Requiem (Intro)","TOKYOPILL",0,140,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,01:22,58,71,76,90,69,0,10,-10,A minor,4,2022-12-05,2dvspuLhynO3xncnwRN5oQ,"3186048 Records DK2",8A,QZK6H2269122
2,"DREAM SEQUENCE","TOKYOPILL",0,180,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,03:33,59,74,8,87,31,10,10,-9,E minor,4,2023-01-13,4FjSfpd2QpSnspq3jKIDjI,"3186048 Records DK2",9A,QZK6H2269123
3,"Aura - TOKYOPILL & Nedaj","TOKYOPILL, Nedaj",0,90,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,03:43,54,85,0,94,32,0,10,-5,G#/A♭ minor,4,2022-12-05,28iZNxP36wd6vzIkgoG8M7,"3186048 Records DK2",1A,QZK6H2269124
4,"Internet Rot","TOKYOPILL",0,170,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,03:23,58,76,0,76,8,10,10,-8,F#/G♭ minor,4,2023-01-13,6QAaYw50hNEEBBJuzkZdM6,"3186048 Records DK2",11A,QZK6H2269125
5,"Godspeed","TOKYOPILL",0,135,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,02:08,33,77,8,96,72,0,10,-7,G,3,2023-01-13,0Uze3DbSv4mRUjMCuSdKCw,"3186048 Records DK2",9B,QZK6H2269126
6,"ONLINE INDUCED HIGH","TOKYOPILL",0,120,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,02:18,31,87,0,97,16,0,20,-5,C♯/D♭ minor,4,2022-12-05,57cqcSB21HqZ0lTXiz6wgV,"3186048 Records DK2",12A,USUYG1432784
7,"Emptiness","TOKYOPILL",0,135,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,02:34,23,96,1,90,8,20,10,-5,C♯/D♭,3,2022-12-05,13Vim9Lh3QVwWhFuuajBNM,"3186048 Records DK2",3B,QZHN92227405
8,"Solitude","TOKYOPILL, Lonestar Void",0,170,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,02:49,49,85,5,62,51,20,10,-8,E,4,2023-01-13,46tPbRbE6mq58ZaUU9cPoA,"3186048 Records DK2",12B,QZK6H2269127
9,"Triangles","TOKYOPILL",0,165,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,03:00,52,92,0,91,66,10,10,-6,G#/A♭,4,2023-01-13,5b4tC4KxbtMGLFI1louazN,"3186048 Records DK2",4B,QZK6H2269128
10,"Night In Asakusabashi","TOKYOPILL",0,125,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Dopamine Online",2022-07-20,03:19,76,53,37,92,33,0,10,-11,G minor,4,2022-12-05,50uxvOxMuUf1CtSJWvMVen,"3186048 Records DK2",6A,QZK6H2269129
11,"Acid 3D","TOKYOPILL",0,110,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,02:02,45,74,14,57,15,30,10,-8,F#/G♭ minor,5,2023-01-12,5H8vyJVEvrQzYm7GoIWeW1,"TOKYOPILL",11A,QZFYY2253841
12,"CULT MEMBERS ONLY","TOKYOPILL",0,180,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,02:40,43,80,6,66,25,10,10,-8,F#/G♭ minor,4,2023-01-12,6djbIWI33sTwd2xLDBp2m6,"TOKYOPILL",11A,QZFYY2253842
13,"DATABEAST","TOKYOPILL",0,160,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,02:00,38,87,0,94,33,0,20,-8,A minor,4,2023-01-12,7eJZzD91GdFhoInzche8OM,"TOKYOPILL",8A,QZFYY2253843
14,"Farewell","TOKYOPILL",0,160,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,02:48,30,81,16,85,18,0,10,-7,A#/B♭ minor,4,2023-01-12,4MkvCtw4pgrnjouUU2Q5Pg,"TOKYOPILL",3A,QZFYY2253844
15,"Cyber Psyche Green","TOKYOPILL",0,165,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,02:19,49,80,7,61,34,0,10,-6,G,4,2023-01-12,3U5Yc4NTE5DP1qTdWYtZCw,"TOKYOPILL",9B,QZFYY2253845
16,"Suffer","TOKYOPILL",0,160,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,02:12,45,95,1,88,35,20,50,-9,F#/G♭,4,2023-01-12,6bXfuBnEbmKRGYbrVdGuC8,"TOKYOPILL",2B,QZFYY2253846
17,"District Digital","TOKYOPILL",0,107,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,02:24,41,79,0,94,37,0,40,-7,D,5,2023-01-12,3lwshVWOReYwncoah1HVKI,"TOKYOPILL",10B,QZFYY2253847
18,"TOKYOstation","TOKYOPILL",0,160,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","Serial Experiments PAIN",2022-01-30,01:48,47,97,9,93,66,0,20,-6,D#/E♭ minor,4,2023-01-12,0Uy6HZdqJYVWQBqZh1M6Xu,"TOKYOPILL",2A,QZFYY2253848
19,"SpeedStar","TOKYOPILL",0,160,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","TOKYO Drift Club",2021-11-01,01:25,49,82,8,87,24,0,10,-10,G#/A♭ minor,4,2023-01-12,3uiqY36mcU8W7OoJKooa4f,"3186048 Records DK2",1A,QZNWV2155230
20,"Arcade Stage 0","TOKYOPILL",0,84,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","TOKYO Drift Club",2021-11-01,01:08,45,42,53,96,12,10,10,-13,F#/G♭ minor,4,2023-01-12,3PbkJxm9KmfdlOcuAvxmF4,"3186048 Records DK2",11A,QZNWV2155231
21,"MT. FUJI","TOKYOPILL",0,170,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","TOKYO Drift Club",2021-11-01,00:45,70,60,11,0,47,30,50,-8,B minor,4,2023-01-12,4T19Yd0I94HXStXKNNq0dc,"3186048 Records DK2",10A,QZNWV2155232
22,"Drifter","TOKYOPILL",0,90,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","TOKYO Drift Club",2021-11-01,01:57,60,66,48,70,16,0,10,-11,C♯/D♭,4,2023-01-13,4QhbUc4YYzm4L01H2SDfFq,"3186048 Records DK2",3B,QZNWV2155233
23,"Bloody Snow","TOKYOPILL",0,174,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","TOKYO Drift Club",2021-11-01,01:03,67,58,68,0,49,40,10,-9,F#/G♭,4,2023-01-12,2YQ3hFNon4wQtDaQPUv55o,"3186048 Records DK2",2B,QZNWV2155234
24,"JDM JDM JDM","TOKYOPILL",0,180,"breakcore, jungle, speedcore, breakbeat, drum and bass","Electronic","TOKYO Drift Club",2021-11-01,01:46,56,61,2,89,6,0,10,-8,D,4,2023-01-12,3hm8O8lIrcd4C26QyNCNqz,"3186048 Records DK2",10B,QZNWV2155235
