#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"King For A Day","Pierce The Veil, Kellin Quinn",79,112,"emo, screamo, post-hardcore, pop punk","Rock, Pop, Metal","Collide With The Sky",2012-07-17,03:56,40,97,0,0,43,10,30,-2,F#/G♭,4,2023-10-18,1IT0WQk5J8NsaeII8ktdlZ,"Fearless Records",2B,US5261216604
2,"Bulls In The Bronx","Pierce The Veil",73,160,"emo, screamo, post-hardcore","Rock, Metal","Collide With The Sky",2012-07-17,04:27,47,93,0,0,34,10,0,-4,F#/G♭ minor,4,2023-10-18,23UoI3jlFiWdo5jadUYo69,"Fearless Records",11A,US5261216605
3,"Hard To Explain","The Strokes",64,82,"garage rock, alternative rock, indie rock","Rock","Is This It",2001-07-30,03:44,41,68,0,85,62,0,10,-6,G,4,2023-10-18,2LMloFiV7DHpBhITOaBSam,"RCA Records Label",9B,USRC10100768
4,"Circles","Pierce The Veil",69,162,"emo, screamo, post-hardcore","Rock, Metal","Misadventures",2016-05-13,03:44,48,98,0,0,37,10,10,-3,D,4,2023-10-18,6zUy2nnchfZpzaDalE6sO2,"Fearless Records",10B,US5261621506
5,"Werewolf (feat. Bring Me The Horizon)","Lil Uzi Vert, Bring Me The Horizon",56,183,"melodic rap, metalcore, emo, screamo, rock, post-hardcore","Rock, Hip Hop, Metal","Pink Tape",2023-06-30,03:59,39,96,0,62,16,20,30,-5,D minor,4,2023-10-18,3ySqZ8yGoh4Emi9HiPCCdP,"Generation Now/Atlantic",7A,USAT22306863
6,"Reptilia","The Strokes",76,158,"garage rock, alternative rock, indie rock","Rock","Room On Fire",2003-10-28,03:39,49,65,0,71,77,0,10,-5,A,4,2023-10-18,57Xjny5yNzAcsxnusKmAfA,"RCA Records Label",11B,USRC10301519
7,"Nightcall","Kavinsky",75,91,"synthwave, french house","Electronic","Nightcall",2010-00-00,04:18,53,87,1,1,36,0,40,-5,A minor,4,2023-10-18,0U0ldCRmgCqhVvD6ksG63j,"Universal Music Division Virgin Music",8A,FRS710900410
8,"Under Your Spell","Desire",60,106,"","","Desire",2009-03-17,04:56,56,73,11,90,42,0,10,-6,G#/A♭,4,2023-10-18,2cSRuejq6DU9U6OkSmUw17,"Italians Do It Better",4B,USL840910008
9,"Tren Al Sur","Los Prisioneros",64,181,"latin rock, rock en español","Latin, Rock","Coleccion Suprema",2007-01-01,05:38,59,62,0,2,73,0,0,-9,A minor,4,2023-10-18,5nvS1vouQkX0HxOohfqCoS,"Capitol Latin",8A,CLBB29000001
10,"Duvet","bôa",84,93,"","","Twilight",2001-03-21,03:23,58,89,19,0,71,0,0,-9,B minor,4,2023-10-18,42qNWdLKCI41S4uzfamhFM,"Nettwerk Music Group",10A,USCGJ0659337
11,"Black Sheep - Brie Larson Vocal Version","Metric, Brie Larson",73,124,"","","Black Sheep (Brie Larson Vocal Version)",2010-00-00,04:54,46,60,0,0,17,0,0,-6,B minor,4,2023-10-18,60TThBDrPpek5k520l0W0L,"ABKCO Music & Records, Inc.",10A,USA172092020
