#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Artemísia","Carne Doce",28,112,"nova mpb","Latin, Pop","Princesa",2016-08-24,04:12,71,60,11,52,35,0,10,-7,E,4,2022-12-06,6ElSiKL8Pj6ly2gxYNGAQ8,"Tratore",12B,BXSSS1600009
2,"Doce","Boogarins",34,120,"neo-psychedelic, nova mpb, psychedelic rock","Rock, Latin, Pop","As Plantas Que Curam",2013-00-00,04:57,54,66,0,0,46,0,20,-7,B,4,2022-12-06,7BB2ht9dfciuMQ1rFPaooo,"Other Music",1B,USFP71335507
3,"Solidão de Volta","Terno Rei",50,82,"nova mpb, brazilian rock","Rock, Latin, Pop","Violeta",2019-02-01,02:42,64,76,14,1,44,0,20,-7,D,4,2021-12-29,5JDL8Z21Du2vvBB1NU3Atj,"Balaclava Records",10B,BR8SK1600029
4,"Astronauta","Dolores 602",2,156,"nova mpb","Latin, Pop","Cartografia",2018-03-02,04:10,42,40,15,0,40,0,10,-8,C,3,2021-12-29,1fEX3ZL10P207h24VFWR19,"Dolores 602 [dist. Tratore]",8B,BXTAK1500004
5,"Amor Verdade","Maria Beraldo",0,141,"nova mpb","Latin, Pop","Cavala",2018-05-30,02:21,39,43,66,6,11,0,10,-11,E minor,3,2021-12-29,6LPvDoyXpThibOnu4677uB,"RISCO [dist. Tratore]",9A,BXB2L1800010
6,"Estava Ali","Terno Rei",39,138,"nova mpb, brazilian rock","Rock, Latin, Pop","Violeta",2019-02-01,02:43,56,52,34,1,37,0,10,-9,D,4,2021-12-29,24RJabXKNyv7wBDfnGXjPl,"Balaclava Records",10B,BR8SK1600031
7,"São Paulo","Terno Rei",40,122,"nova mpb, brazilian rock","Rock, Latin, Pop","Violeta",2019-02-01,02:51,66,44,27,0,27,0,10,-9,E minor,4,2021-12-29,19qLXa8L4asWWbHb1ZQbSr,"Balaclava Records",9A,BR8SK1600035
8,"Foimal","Boogarins",0,139,"neo-psychedelic, nova mpb, psychedelic rock","Rock, Latin, Pop","Lá Vem a Morte",2017-06-09,03:12,31,76,0,74,26,0,20,-6,C,4,2021-12-29,22Vo18MZsUIVkim1rDvKHB,"OAR",8B,QZ63Y1700003
9,"Yoko","Terno Rei",53,131,"nova mpb, brazilian rock","Rock, Latin, Pop","Violeta",2019-02-01,03:45,66,43,25,0,36,0,10,-9,A,4,2022-01-03,6OUoBmIdoDK14RoE5nWlCC,"Balaclava Records",11B,BR8SK1600028
10,"Dia Lindo","Terno Rei",47,79,"nova mpb, brazilian rock","Rock, Latin, Pop","Violeta",2019-02-01,01:50,63,38,16,0,31,0,10,-8,F#/G♭,4,2022-01-03,0zG0LzLbVueZll4drMFPgz,"Balaclava Records",2B,BR8SK1600030
