#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Something Good","alt-J",59,109,"indie, indie rock","Pop, Rock","An Awesome Wave",2012-09-18,03:37,68,58,71,32,54,0,0,-10,G,4,2018-10-28,3xqxETvPg43KWP0HOGiOmu,"Canvasback/ATL",9B,GBZUZ1200069
2,"To All of You","Syd Matters",62,104,"","","Someday We Will Foresee Obstacles",2005-00-00,04:43,31,54,27,8,10,0,10,-12,C♯/D♭ minor,4,2018-10-28,7yC7FWZz24L43brXzNpLWT,"Third Side Records",12A,FRP090400170
3,"Crosses","José González",0,135,"indie folk","Folk, Rock","Crosses",2003-07-02,02:41,67,37,90,2,32,0,10,-10,B minor,4,2018-10-28,4oVqNvjCS2BrA0v9iV5B14,"Imperial",10A,SEVVX0300101
4,"Heartbeats","José González",63,88,"indie folk","Folk, Rock","Veneer",2006-04-03,02:41,59,18,98,71,31,0,10,-15,D#/E♭,4,2018-10-28,5YqpHuXpFjDVZ7tY1ClFll,"Mute",5B,SEVVX0300201
5,"Mt. Washington","Local Natives",0,77,"","","Hummingbird",2013-00-00,03:18,48,35,21,0,16,0,10,-10,F#/G♭ minor,4,2018-10-28,6RIRK4DenyzKkrrROpVteT,"Infectious",11A,GBZUZ1200056
6,"Stay Alive - From  The Secret Life of Walter Mitty  Soundtrack","José González",70,130,"indie folk","Folk, Rock","Stay Alive (From The Secret Life Of Walter Mitty)",2013-01-01,04:26,71,31,73,17,31,0,0,-12,F#/G♭,4,2020-10-02,0ZNYGrmcehorhh9JOeg5Iv,"The Secret Life of Walter Mitty",2B,USFM91300095
7,"Mountains","Message To Bears",0,110,"post-rock","Rock","Folding Leaves",2012-00-00,03:54,57,57,64,56,66,0,0,-11,F#/G♭,4,2020-10-06,22v9ZVkWWAYjderL7ZWuuH,"Dead Pilot Records",2B,SEYOK1128678
8,"Hiding tonight","Alex Turner",0,100,"","","Submarine - Original Songs From The Film By Alex Turner",2011-03-15,03:06,54,12,92,0,28,0,30,-19,C,4,2020-10-06,0x47zt71IYykbt1ET933pJ,"Domino Recording Co",8B,GBCEL1100042
9,"I Might Float","Syd Matters",39,153,"","","Brotherocean",2010-08-30,04:50,61,35,62,46,17,0,0,-10,G#/A♭,4,2021-03-11,4YWwfvZ5bplT5DbfiLpFgL,"Because Music",4B,FR6P11000650
10,"Youth","Daughter",0,147,"","","If You Leave",2013-01-01,04:13,40,53,89,1,41,0,10,-11,C,4,2021-03-11,4AmcmraFjVzFb9SQDNTRyl,"Glassnote Entertainment Group LLC",8B,USYAH1300029
