#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Summer Is Here","Acid Ghost",23,122,"dream pop","Pop, Rock","I Want to Hide My Face & Die",2015-11-26,02:23,50,72,64,1,40,0,0,-3,A#/B♭,4,2023-02-06,6RfqMM6PVQSEtRCe6HEGWB,"Acid Ghost inc.",6B,TCACZ1736393
2,"No Quiero ser Madre","Margaritas Podridas",14,91,"mexican indie, shoegaze, riot grrrl, dream pop","Pop, Rock","No Quiero ser Madre",2022-08-15,01:35,36,99,6,98,5,0,30,-5,F#/G♭ minor,4,2023-02-06,74tuTsVNQJ1h5Y9MGNQVYY,"Suicide Squeeze Records",11A,US33X2219801
3,"Muérete de Envidia","Sgt. Papers",25,92,"mexican indie, egg punk, latin indie","Rock, Latin","Me Hiciste Brujería",2020-05-21,03:16,51,90,0,94,79,0,10,-8,F#/G♭,4,2023-02-06,7spU1Gwabi8lISjeRoYXtW,"Sgt. Papers",2B,USDY41944512
4,"No Fuí Yo","Sgt. Papers",30,83,"mexican indie, egg punk, latin indie","Rock, Latin","Me Hiciste Brujería",2020-05-21,05:07,47,85,2,0,54,0,0,-7,C,4,2023-02-06,6M3bI5Sfi64tMyPF8UZ4m2,"Sgt. Papers",8B,USDY41944513
5,"Miente","Bengala",42,150,"mexican indie, mexican rock, rock en español, latin indie, latin alternative","Latin, Rock","Bengala",2006-01-01,03:07,51,76,0,0,36,0,20,-3,B minor,4,2023-02-06,1gA2JKymFK2wqvNKbiZmjl,"Universal Music Mexico",10A,MXUM70601698
6,"Pérdida Total","Sgt. Papers",0,93,"mexican indie, egg punk, latin indie","Rock, Latin","Pérdida Total",2022-10-26,02:02,44,99,6,75,38,0,10,-10,B,4,2023-02-06,5s3kNxzdeToeSTInn6W3gv,"Devil In The Woods",1B,QMDA62269575
7,"Sandwich de Monda","Sgt. Papers",0,175,"mexican indie, egg punk, latin indie","Rock, Latin","SGTP",2021-10-15,01:37,43,90,7,48,89,0,0,-8,D,4,2023-02-06,3DUKMgvXWS8jHMuHR1As1s,"Devil In The Woods",10B,GX3Q92090653
8,"Rich","Yeah Yeah Yeahs",30,135,"","","Fever To Tell",2003-04-29,03:36,55,98,0,1,34,0,30,-6,G,4,2023-02-07,4Gftp5rlHPr4De1zbqmrJW,"Yeah Yeah Yeahs - Fever to Tell PS",9B,USIR10300263
9,"Man","Yeah Yeah Yeahs",27,188,"","","Fever To Tell",2003-04-29,01:49,23,97,3,0,10,40,20,-3,A,4,2023-02-07,73VffP4oQX941CxozOP15l,"Yeah Yeah Yeahs - Fever to Tell PS",11B,USIR10300258
10,"Tick","Yeah Yeah Yeahs",27,144,"","","Fever To Tell",2003-04-29,01:49,53,97,0,52,77,10,0,-3,G,4,2023-02-07,70wjzLOzedJOSTFsWZA7fh,"Yeah Yeah Yeahs - Fever to Tell PS",9B,USIR10300264
