#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"The Middle","Jimmy Eat World",81,162,"emo, pop punk","Rock, Pop","Bleed American",2001-07-17,02:45,64,85,4,0,90,0,0,-5,D,4,2023-02-07,6GG73Jik4jUlQCkKg9JuGO,"Interscope",10B,USDW10110256
2,"Miss Murder","AFI",70,144,"punk, horror punk, emo, skate punk","Rock, Metal","DECEMBERUNDERGROUND",2006-06-06,03:26,31,87,0,0,69,0,10,-5,G#/A♭,4,2023-02-07,0Ti2dlF2xLjXblvdU5fCxM,"Interscope",4B,USUM70602578
3,"0 SENTIMENTO","Asjatica",3,80,"","","0 SENTIMENTO",2022-11-25,02:29,35,66,0,1,29,0,10,-7,B,4,2023-02-09,5WCw5MPG167COqxJu6c42Y,"Reload Music",1B,QMDA72220284
4,"Circles","Pierce The Veil",69,162,"emo, screamo, post-hardcore","Rock, Metal","Misadventures",2016-05-13,03:44,48,98,0,0,37,10,10,-3,D,4,2023-08-15,6zUy2nnchfZpzaDalE6sO2,"Fearless Records",10B,US5261621506
5,"Today I Saw The Whole World","Pierce The Veil",65,138,"emo, screamo, post-hardcore","Rock, Metal","Misadventures",2016-05-13,03:41,51,99,0,0,58,0,30,-2,D#/E♭ minor,4,2023-08-15,48vr34351V9Sz1QVxmbYNf,"Fearless Records",2A,US5261621507
6,"Gold Medal Ribbon","Pierce The Veil",62,101,"emo, screamo, post-hardcore","Rock, Metal","Misadventures",2016-05-13,03:58,53,93,0,0,42,0,0,-3,C♯/D♭,4,2023-08-15,0yq3IiS6IbPFmqLN46WxiG,"Fearless Records",3B,US5261621508
7,"Given Up","Linkin Park",80,100,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Minutes to Midnight",2007-05-14,03:09,66,89,0,0,94,0,0,-4,G,4,2023-08-15,1fLlRApgzxWweF1JTf8yM5,"Warner Records",9B,USWB10701211
8,"Drown","Bring Me The Horizon",74,143,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","That's The Spirit",2015-09-11,03:42,41,94,0,0,24,0,70,-3,C♯/D♭ minor,4,2023-08-18,6o39Ln9118FKTMbM4BvcEy,"RCA Records Label",12A,GBARL1500797
9,"Follow You","Bring Me The Horizon",72,90,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","That's The Spirit",2015-09-11,03:51,54,66,8,0,51,0,10,-6,D#/E♭ minor,4,2023-08-22,6lFUdRItQEsEuD7dSINL47,"RCA Records Label",2A,GBARL1500772
10,"True Friends","Bring Me The Horizon",66,160,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","That's The Spirit",2015-09-11,03:52,42,94,0,0,33,0,10,-3,G,4,2023-08-23,1KTJmfwrk5pYqsi9mkY3nT,"RCA Records Label",9B,GBARL1500771
11,"i apologise if you feel something","Bring Me The Horizon",48,180,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","amo",2019-01-25,02:19,21,36,53,3,5,0,0,-10,A minor,1,2023-08-29,4mrjzz6ETpW3wosJUYmKoL,"RCA Records Label",8A,GBARL1801493
12,"MANTRA","Bring Me The Horizon",62,90,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","amo",2019-01-25,03:53,50,82,0,0,60,0,10,-4,C,4,2023-08-29,060RNnzoMay3wKJek1faPc,"RCA Records Label",8B,GBARL1801065
13,"nihilist blues (feat. Grimes)","Bring Me The Horizon, Grimes",53,134,"metalcore, emo, screamo, rock, post-hardcore, art pop","Pop, Rock, Metal","amo",2019-01-25,05:25,61,81,0,0,20,0,30,-6,E minor,4,2023-08-29,1JdWRS3PBZlSgKcPKcULtr,"RCA Records Label",9A,GBARL1801494
14,"Still into You","Paramore",83,136,"pop punk, emo","Rock, Pop","Paramore",2013-04-05,03:36,60,92,1,0,77,0,0,-4,F,4,2023-09-01,1yjY7rpaAQvKwpdUliHx0d,"Fueled By Ramen",7B,USAT21300012
15,"Decode","Paramore",78,164,"pop punk, emo","Rock, Pop","Decode",2008-11-04,04:21,28,87,0,1,28,0,10,-4,A#/B♭ minor,4,2023-11-20,1ZLtE9tSJdaUiIJ9YoKHQe,"Atlantic Records",3A,USAT22103220
16,"Misery Business","Paramore",76,173,"pop punk, emo","Rock, Pop","Riot!",2007-06-12,03:31,52,91,0,0,73,0,10,-4,C♯/D♭,4,2023-11-20,6SpLc7EXZIPpy0sVko0aoU,"Fueled By Ramen",3B,USAT20702617
17,"What's My Age Again?","blink-182",78,158,"pop punk, punk, rock, skate punk, emo","Rock, Pop","Enema Of The State",1999-06-01,02:28,39,95,1,0,47,0,0,-7,F#/G♭,4,2023-11-30,4LJhJ6DQS7NwE7UKtvcM52,"Geffen",2B,USMC19959007
18,"The Kill","Thirty Seconds To Mars",80,183,"","","A Beautiful Lie",2005-08-16,03:51,18,91,0,0,29,0,50,-4,E minor,3,2023-11-30,0lP4HYLmvowOKdsQ7CVkuq,"Virgin Records",9A,USVI20500136
19,"Sugar, We're Goin Down","Fall Out Boy",79,162,"emo, pop punk","Rock, Pop","From Under The Cork Tree",2005-05-03,03:49,49,84,1,0,57,0,10,-5,G,4,2023-11-30,2TfSHkHiFO4gRztVIkggkE,"Island Records",9B,USIR20500201
20,"Cherry Waves","Deftones",79,124,"nu metal, alternative metal, rap metal, shoegaze, rock","Metal, Rock, Hip Hop","Saturday Night Wrist",2006-10-25,05:17,47,86,0,1,17,0,10,-4,D,4,2023-12-01,70L6nHORQsblY813yNqUR3,"Maverick",10B,USMV20600284
21,"All I Wanted","Paramore",80,144,"pop punk, emo","Rock, Pop","Brand New Eyes",2009-09-25,03:45,49,72,2,3,15,0,10,-5,F#/G♭ minor,4,2023-12-01,1Bv3h7Vc4AaYA2BcSM3rVd,"Fueled By Ramen",11A,USAT20902328
22,"All The Small Things","blink-182",82,149,"pop punk, punk, rock, skate punk, emo","Rock, Pop","Enema Of The State",1999-06-01,02:47,43,90,1,0,69,0,60,-5,C,4,2023-12-01,2m1hi0nfMR9vdGC8UcrnwU,"Geffen",8B,USMC19959123
23,"I Miss You","blink-182",78,110,"pop punk, punk, rock, skate punk, emo","Rock, Pop","blink-182",2003-01-01,03:47,66,78,0,0,58,0,0,-7,B,4,2023-12-01,1oTo3ijRbaDAtrjJrGAPSw,"Geffen*",1B,USMC10346123
24,"1x1 (feat. Nova Twins)","Bring Me The Horizon, Nova Twins",66,164,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","POST HUMAN: SURVIVAL HORROR",2020-10-30,03:29,45,94,0,0,60,10,60,-3,C♯/D♭ minor,4,2023-12-01,6sIbv1oWOuma2qV907MUbk,"RCA Records Label",12A,GBARL2001277
25,"Kool-Aid","Bring Me The Horizon",59,149,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","Kool-Aid",2024-01-05,03:48,25,95,0,0,24,20,60,-3,F minor,4,2024-01-05,1rBiNR61IhvbzeKwfs3AwE,"RCA Records Label",4A,GBARL2301975
26,"King For A Day","Pierce The Veil, Kellin Quinn",79,112,"emo, screamo, post-hardcore, pop punk","Rock, Pop, Metal","Collide With The Sky",2012-07-17,03:56,40,97,0,0,43,10,30,-2,F#/G♭,4,2025-03-03,1IT0WQk5J8NsaeII8ktdlZ,"Fearless Records",2B,US5261216604
27,"Bulls In The Bronx","Pierce The Veil",73,160,"emo, screamo, post-hardcore","Rock, Metal","Collide With The Sky",2012-07-17,04:27,47,93,0,0,34,10,0,-4,F#/G♭ minor,4,2025-03-03,23UoI3jlFiWdo5jadUYo69,"Fearless Records",11A,US5261216605
28,"Brick by Boring Brick","Paramore",67,165,"pop punk, emo","Rock, Pop","Brand New Eyes",2009-09-25,04:13,44,94,0,0,50,0,20,-2,A,4,2025-03-03,1a9YW7fATU351ok4zWjU7a,"Fueled By Ramen",11B,USAT20902321
29,"LosT","Bring Me The Horizon",61,185,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","LosT",2023-05-04,03:25,40,94,0,0,39,20,20,-3,A minor,4,2025-03-03,5BgnL6gHauuvxe4Ok6W1aC,"RCA Records Label",8A,GBARL2202050
30,"Careful","Paramore",56,165,"pop punk, emo","Rock, Pop","Brand New Eyes",2009-09-25,03:50,42,95,0,0,61,0,20,-4,G#/A♭,4,2025-03-03,63L9AjBDN3SOMbJlBkFqiZ,"Fueled By Ramen",4B,USAT20902319
31,"Ignorance","Paramore",71,171,"pop punk, emo","Rock, Pop","Brand New Eyes",2009-09-25,03:38,52,96,0,0,51,10,0,-3,B minor,4,2025-03-03,47No93LxERvV6MtOAmQzHS,"Fueled By Ramen",10A,USAT20902050
