#,Song,Artist,Genres,Album,Album Date
1,Haunted,Laura Les,"hyperpop, glitch",Haunted,2021-03-12
2,hand crushed by a mallet,"100 gecs, Laura Les, Dylan Brady","hyperpop, glitch",1000 gecs,2019-05-31
3,mememe,100 gecs,"hyperpop, glitch",mememe,2021-11-19
4,745 sticky,"100 gecs, Laura Les, Dylan Brady","hyperpop, glitch",1000 gecs,2019-05-31
5,Hey Big Man,100 gecs,"hyperpop, glitch",Snake Eyes,2022-12-02
6,Torture Me (feat. Skrillex),"100 gecs, Skrillex","hyperpop, glitch, dubstep, edm, electro, electronic",Snake Eyes,2022-12-02
7,Runaway,100 gecs,"hyperpop, glitch",Snake Eyes,2022-12-02
8,Hollywood Baby,100 gecs,"hyperpop, glitch","10,000 gecs",2023-03-17
9,Doritos & Fritos,100 gecs,"hyperpop, glitch","10,000 gecs",2023-03-17
10,Dumbest Girl Alive,100 gecs,"hyperpop, glitch","10,000 gecs",2023-03-17
11,LosT,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",LosT,2023-05-04
12,Frog On The Floor,100 gecs,"hyperpop, glitch","10,000 gecs",2023-03-17
13,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]","100 gecs, Charli xcx, Rico Nasty, Kero Kero Bonito","hyperpop, glitch, art pop",1000 gecs and The Tree of Clues,2020-07-10
