#,Song,Artist,Genres,Album,Album Date
1,悲しみがとまらない　I CAN'T STOP THE LONELINESS,Anri,"city pop, j-pop, kayokyoku",Timely!!,1983-12-05
2,Plastic Love,Mariya Takeuchi,"city pop, kayokyoku, j-pop",Expressions,2008-05-21
3,街のドルフィン,Kingo Hamada,city pop,midnight cruisin',1982-10-21
4,我がままなハイヒール - Non Stop Mix ver.,Kaoru Akimoto,city pop,"TOKYO 1980s Victor Edition (The Alternate Mix) Boogie, Funk & Modern Soul from Japan ～Non Stop Mix ver.～",2018-10-31
5,WINDY SUMMER,Anri,"city pop, j-pop, kayokyoku",Timely!!,1983-12-05
6,I wanna Be With You,Yurie Kokubu,city pop,STEPS ＋2,2014-07-09
7,1984 (西暦2000年に向けて) - 2012 Remaster,Junko Yagami,"city pop, kayokyoku, j-pop","コミュニケーション (+3, 2012 Remaster)",1985-02-10
8,Dream In The Street,池田典代,city pop,ドリームインザストリート,2018-01-10
9,Night Cruising,Momoko Kikuchi,"city pop, kayokyoku",ADVENTURE,1986-06-25
10,4:00A.M.,Taeko Onuki,"city pop, shibuya-kei, j-pop",MIGNONNE (Mastered by Bernie Grundman),1978-09-21
11,トーキョーレギー,Masayoshi Takanaka,"jazz fusion, city pop, jazz funk",SEYCHELLES,1976-01-01
12,Remember Summer Days,Anri,"city pop, j-pop, kayokyoku",Timely!!,1983-12-05
13,BELEZA PULA,Masayoshi Takanaka,"jazz fusion, city pop, jazz funk",BRASILIAN SKIES,1978-01-01
14,モノクローム,Naoko Gushima,"city pop, j-r&b, shibuya-kei",miss. G,1996-06-05
